"version","experiment","variant","camera","file","bytes"
"v1","v1_A","g14p7","CAM_Main","v1\v1_A\g14p7\CAM_Main\v1_A_g14p7_CAM_Main_0001-0192.mp4","476989"
"v1","v1_A","g14p7","CAM_Side","v1\v1_A\g14p7\CAM_Side\v1_A_g14p7_CAM_Side_0001-0192.mp4","402683"
"v1","v1_A","g14p7","CAM_Top","v1\v1_A\g14p7\CAM_Top\v1_A_g14p7_CAM_Top_0001-0192.mp4","505555"
"v1","v1_A","g2","CAM_Main","v1\v1_A\g2\CAM_Main\v1_A_g2_CAM_Main_0001-0192.mp4","476769"
"v1","v1_A","g2","CAM_Side","v1\v1_A\g2\CAM_Side\v1_A_g2_CAM_Side_0001-0192.mp4","401099"
"v1","v1_A","g2","CAM_Top","v1\v1_A\g2\CAM_Top\v1_A_g2_CAM_Top_0001-0192.mp4","503196"
"v1","v1_A","g4p9","CAM_Main","v1\v1_A\g4p9\CAM_Main\v1_A_g4p9_CAM_Main_0001-0192.mp4","477780"
"v1","v1_A","g4p9","CAM_Side","v1\v1_A\g4p9\CAM_Side\v1_A_g4p9_CAM_Side_0001-0192.mp4","402543"
"v1","v1_A","g4p9","CAM_Top","v1\v1_A\g4p9\CAM_Top\v1_A_g4p9_CAM_Top_0001-0192.mp4","505859"
"v1","v1_A","g9p81","CAM_Main","v1\v1_A\g9p81\CAM_Main\v1_A_g9p81_CAM_Main_0001-0192.mp4","477209"
"v1","v1_A","g9p81","CAM_Side","v1\v1_A\g9p81\CAM_Side\v1_A_g9p81_CAM_Side_0001-0192.mp4","402090"
"v1","v1_A","g9p81","CAM_Top","v1\v1_A\g9p81\CAM_Top\v1_A_g9p81_CAM_Top_0001-0192.mp4","505475"
"v1","v1_B","e0p45","CAM_Main","v1\v1_B\e0p45\CAM_Main\v1_B_e0p45_CAM_Main_0001-0060.mp4","152020"
"v1","v1_B","e0p45","CAM_Side","v1\v1_B\e0p45\CAM_Side\v1_B_e0p45_CAM_Side_0001-0192.mp4","405035"
"v1","v1_B","e0p45","CAM_Top","v1\v1_B\e0p45\CAM_Top\v1_B_e0p45_CAM_Top_0001-0060.mp4","160967"
"v1","v1_B","e0p65","CAM_Main","v1\v1_B\e0p65\CAM_Main\v1_B_e0p65_CAM_Main_0001-0060.mp4","153346"
"v1","v1_B","e0p65","CAM_Side","v1\v1_B\e0p65\CAM_Side\v1_B_e0p65_CAM_Side_0001-0192.mp4","410362"
"v1","v1_B","e0p65","CAM_Top","v1\v1_B\e0p65\CAM_Top\v1_B_e0p65_CAM_Top_0001-0060.mp4","164075"
"v1","v1_B","e0p82","CAM_Main","v1\v1_B\e0p82\CAM_Main\v1_B_e0p82_CAM_Main_0001-0060.mp4","154000"
"v1","v1_B","e0p82","CAM_Side","v1\v1_B\e0p82\CAM_Side\v1_B_e0p82_CAM_Side_0001-0192.mp4","420352"
"v1","v1_B","e0p82","CAM_Top","v1\v1_B\e0p82\CAM_Top\v1_B_e0p82_CAM_Top_0001-0060.mp4","166481"
"v1","v1_B","e0p95","CAM_Main","v1\v1_B\e0p95\CAM_Main\v1_B_e0p95_CAM_Main_0001-0060.mp4","153715"
"v1","v1_B","e0p95","CAM_Side","v1\v1_B\e0p95\CAM_Side\v1_B_e0p95_CAM_Side_0001-0192.mp4","429929"
"v1","v1_B","e0p95","CAM_Top","v1\v1_B\e0p95\CAM_Top\v1_B_e0p95_CAM_Top_0001-0060.mp4","166531"
"v1","v1_C","mu0p04","CAM_Main","v1\v1_C\mu0p04\CAM_Main\v1_C_mu0p04_CAM_Main_0001-0192.mp4","485987"
"v1","v1_C","mu0p04","CAM_Side","v1\v1_C\mu0p04\CAM_Side\v1_C_mu0p04_CAM_Side_0001-0192.mp4","406256"
"v1","v1_C","mu0p04","CAM_Top","v1\v1_C\mu0p04\CAM_Top\v1_C_mu0p04_CAM_Top_0001-0192.mp4","509026"
"v1","v1_C","mu0p10","CAM_Main","v1\v1_C\mu0p10\CAM_Main\v1_C_mu0p10_CAM_Main_0001-0192.mp4","488688"
"v1","v1_C","mu0p10","CAM_Side","v1\v1_C\mu0p10\CAM_Side\v1_C_mu0p10_CAM_Side_0001-0192.mp4","410048"
"v1","v1_C","mu0p10","CAM_Top","v1\v1_C\mu0p10\CAM_Top\v1_C_mu0p10_CAM_Top_0001-0192.mp4","511579"
"v1","v1_C","mu0p18","CAM_Main","v1\v1_C\mu0p18\CAM_Main\v1_C_mu0p18_CAM_Main_0001-0192.mp4","477343"
"v1","v1_C","mu0p18","CAM_Side","v1\v1_C\mu0p18\CAM_Side\v1_C_mu0p18_CAM_Side_0001-0192.mp4","403716"
"v1","v1_C","mu0p18","CAM_Top","v1\v1_C\mu0p18\CAM_Top\v1_C_mu0p18_CAM_Top_0001-0192.mp4","511541"
"v1","v1_C","mu0p30","CAM_Main","v1\v1_C\mu0p30\CAM_Main\v1_C_mu0p30_CAM_Main_0001-0192.mp4","479388"
"v1","v1_C","mu0p30","CAM_Side","v1\v1_C\mu0p30\CAM_Side\v1_C_mu0p30_CAM_Side_0001-0192.mp4","407485"
"v1","v1_C","mu0p30","CAM_Top","v1\v1_C\mu0p30\CAM_Top\v1_C_mu0p30_CAM_Top_0001-0192.mp4","508835"
"v1","v1_D","gamma0p04","CAM_Main","v1\v1_D\gamma0p04\CAM_Main\v1_D_gamma0p04_CAM_Main_0001-0192.mp4","496532"
"v1","v1_D","gamma0p04","CAM_Side","v1\v1_D\gamma0p04\CAM_Side\v1_D_gamma0p04_CAM_Side_0001-0192.mp4","460070"
"v1","v1_D","gamma0p04","CAM_Top","v1\v1_D\gamma0p04\CAM_Top\v1_D_gamma0p04_CAM_Top_0001-0192.mp4","521137"
"v1","v1_D","gamma0p10","CAM_Main","v1\v1_D\gamma0p10\CAM_Main\v1_D_gamma0p10_CAM_Main_0001-0192.mp4","491417"
"v1","v1_D","gamma0p10","CAM_Side","v1\v1_D\gamma0p10\CAM_Side\v1_D_gamma0p10_CAM_Side_0001-0192.mp4","459248"
"v1","v1_D","gamma0p10","CAM_Top","v1\v1_D\gamma0p10\CAM_Top\v1_D_gamma0p10_CAM_Top_0001-0192.mp4","520368"
"v1","v1_D","gamma0p18","CAM_Main","v1\v1_D\gamma0p18\CAM_Main\v1_D_gamma0p18_CAM_Main_0001-0192.mp4","488762"
"v1","v1_D","gamma0p18","CAM_Side","v1\v1_D\gamma0p18\CAM_Side\v1_D_gamma0p18_CAM_Side_0001-0192.mp4","454244"
"v1","v1_D","gamma0p18","CAM_Top","v1\v1_D\gamma0p18\CAM_Top\v1_D_gamma0p18_CAM_Top_0001-0192.mp4","517583"
"v1","v1_D","gamma0p30","CAM_Main","v1\v1_D\gamma0p30\CAM_Main\v1_D_gamma0p30_CAM_Main_0001-0192.mp4","484940"
"v1","v1_D","gamma0p30","CAM_Side","v1\v1_D\gamma0p30\CAM_Side\v1_D_gamma0p30_CAM_Side_0001-0192.mp4","450422"
"v1","v1_D","gamma0p30","CAM_Top","v1\v1_D\gamma0p30\CAM_Top\v1_D_gamma0p30_CAM_Top_0001-0192.mp4","516256"
"v2","v2_A","g14p7","CAM_Main","v2\v2_A\g14p7\CAM_Main\v2_A_g14p7_CAM_Main_0001-0240.mp4","552953"
"v2","v2_A","g14p7","CAM_Side","v2\v2_A\g14p7\CAM_Side\v2_A_g14p7_CAM_Side_0001-0240.mp4","522353"
"v2","v2_A","g14p7","CAM_Top","v2\v2_A\g14p7\CAM_Top\v2_A_g14p7_CAM_Top_0001-0240.mp4","626922"
"v2","v2_A","g4p9","CAM_Main","v2\v2_A\g4p9\CAM_Main\v2_A_g4p9_CAM_Main_0001-0240.mp4","562172"
"v2","v2_A","g4p9","CAM_Side","v2\v2_A\g4p9\CAM_Side\v2_A_g4p9_CAM_Side_0001-0240.mp4","516388"
