frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Ball,-5.8,0.0,0.44,0.0,-0.0,0.0
2,0.04166667,C_Ball,-5.62602188,0.0,0.44,0.0,-0.72490883,0.0
3,0.08333333,C_Ball,-5.4540875,0.0,0.44,0.0,-1.44130206,0.0
4,0.125,C_Ball,-5.28419687,0.0,0.44,0.0,-2.1491797,0.0
5,0.16666667,C_Ball,-5.11635,0.0,0.44,0.0,-2.84854174,0.0
6,0.20833333,C_Ball,-4.95054687,0.0,0.44,0.0,-3.53938794,0.0
7,0.25,C_Ball,-4.7867875,0.0,0.44,0.0,-4.22171879,0.0
8,0.29166667,C_Ball,-4.62507187,0.0,0.44,0.0,-4.89553404,0.0
9,0.33333333,C_Ball,-4.4654,0.0,0.44,0.0,-5.56083345,0.0
10,0.375,C_Ball,-4.30777187,0.0,0.44,0.0,-6.21761703,0.0
11,0.41666667,C_Ball,-4.1521875,0.0,0.44,0.0,-6.86588526,0.0
12,0.45833333,C_Ball,-3.99864687,0.0,0.44,0.0,-7.50563812,0.0
13,0.5,C_Ball,-3.84715,0.0,0.44,0.0,-8.13687515,0.0
14,0.54166667,C_Ball,-3.69769688,0.0,0.44,0.0,-8.75959682,0.0
15,0.58333333,C_Ball,-3.5502875,0.0,0.44,0.0,-9.37380219,0.0
16,0.625,C_Ball,-3.40492187,0.0,0.44,0.0,-9.97949219,0.0
17,0.66666667,C_Ball,-3.2616,0.0,0.44,0.0,-10.57666683,0.0
18,0.70833333,C_Ball,-3.12032187,0.0,0.44,0.0,-11.16532516,0.0
19,0.75,C_Ball,-2.9810875,0.0,0.44,0.0,-11.74546909,0.0
20,0.79166667,C_Ball,-2.84389687,0.0,0.44,0.0,-12.31709671,0.0
21,0.83333333,C_Ball,-2.70875,0.0,0.44,0.0,-12.88020802,0.0
22,0.875,C_Ball,-2.57564687,0.0,0.44,0.0,-13.43480492,0.0
23,0.91666667,C_Ball,-2.4445875,0.0,0.44,0.0,-13.98088551,0.0
24,0.95833333,C_Ball,-2.31557187,0.0,0.44,0.0,-14.51845074,0.0
25,1.0,C_Ball,-2.1886,0.0,0.44,0.0,-15.04749966,0.0
26,1.04166667,C_Ball,-2.06367187,0.0,0.44,0.0,-15.56803417,0.0
27,1.08333333,C_Ball,-1.9407875,0.0,0.44,0.0,-16.08005142,0.0
