frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,0.93549428,0.0,2.69884545,0.0,0.0,0.0
1,0.0,D_Rod,0.41893874,0.0,3.85904818,0.0,2.72271371,0.0
2,0.04166667,D_Ball,0.92570014,0.0,2.69451211,0.0,0.0,0.0
2,0.04166667,D_Rod,0.41455267,0.0,3.8571076,0.0,2.72737002,0.0
3,0.08333333,D_Ball,0.90960916,0.0,2.68751067,0.0,0.0,0.0
3,0.08333333,D_Rod,0.40734671,0.0,3.85397217,0.0,2.7349999,0.0
4,0.125,D_Ball,0.88737287,0.0,2.67807413,0.0,0.0,0.0
4,0.125,D_Rod,0.39738872,0.0,3.84974624,0.0,2.74550247,0.0
5,0.16666667,D_Ball,0.85916852,0.0,2.66649831,0.0,0.0,0.0
5,0.16666667,D_Rod,0.38475808,0.0,3.84456229,0.0,2.75875783,0.0
6,0.20833333,D_Ball,0.82520282,0.0,2.65313244,0.0,0.0,0.0
6,0.20833333,D_Rod,0.36954735,0.0,3.8385767,0.0,2.77462792,0.0
7,0.25,D_Ball,0.78571596,0.0,2.63836857,0.0,0.0,0.0
7,0.25,D_Rod,0.3518641,0.0,3.83196506,0.0,2.79295731,0.0
8,0.29166667,D_Ball,0.74098554,0.0,2.62262993,0.0,0.0,0.0
8,0.29166667,D_Rod,0.33183265,0.0,3.82491688,0.0,2.81357431,0.0
9,0.33333333,D_Ball,0.69132983,0.0,2.60635849,0.0,0.0,0.0
9,0.33333333,D_Rod,0.30959553,0.0,3.81763011,0.0,2.83629394,0.0
10,0.375,D_Ball,0.63711016,0.0,2.59000212,0.0,0.0,0.0
10,0.375,D_Rod,0.28531455,0.0,3.8103053,0.0,2.86091757,0.0
11,0.41666667,D_Ball,0.57873202,0.0,2.57400152,0.0,0.0,0.0
11,0.41666667,D_Rod,0.2591713,0.0,3.80313981,0.0,2.88723612,0.0
12,0.45833333,D_Ball,0.51664456,0.0,2.55877748,0.0,0.0,0.0
12,0.45833333,D_Rod,0.23136691,0.0,3.79632209,0.0,2.91503143,0.0
13,0.5,D_Ball,0.45133856,0.0,2.54471875,0.0,0.0,0.0
13,0.5,D_Rod,0.20212118,0.0,3.79002622,0.0,2.94407678,0.0
14,0.54166667,D_Ball,0.38334259,0.0,2.53217098,0.0,0.0,0.0
14,0.54166667,D_Rod,0.17167081,0.0,3.784407,0.0,2.97414041,0.0
15,0.58333333,D_Ball,0.3132176,0.0,2.52142704,0.0,0.0,0.0
15,0.58333333,D_Rod,0.14026701,0.0,3.77959559,0.0,3.00498652,0.0
16,0.625,D_Ball,0.24155003,0.0,2.51271917,0.0,0.0,0.0
16,0.625,D_Rod,0.10817241,0.0,3.77569598,0.0,3.03637695,0.0
17,0.66666667,D_Ball,0.16894378,0.0,2.50621317,0.0,0.0,0.0
17,0.66666667,D_Rod,0.07565743,0.0,3.77278242,0.0,3.06807256,0.0
