frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Block,-6.08208483,0.0,3.12552623,0.0,0.34906584,0.0
2,0.04166667,C_Block,-6.08100225,0.0,3.1251322,0.0,0.34906584,0.0
3,0.08333333,C_Block,-6.07775451,0.0,3.12395012,0.0,0.34906584,0.0
4,0.125,C_Block,-6.07234159,0.0,3.12197998,0.0,0.34906584,0.0
5,0.16666667,C_Block,-6.06476352,0.0,3.11922179,0.0,0.34906584,0.0
6,0.20833333,C_Block,-6.05502028,0.0,3.11567554,0.0,0.34906584,0.0
7,0.25,C_Block,-6.04311188,0.0,3.11134123,0.0,0.34906584,0.0
8,0.29166667,C_Block,-6.02903831,0.0,3.10621887,0.0,0.34906584,0.0
9,0.33333333,C_Block,-6.01279958,0.0,3.10030846,0.0,0.34906584,0.0
10,0.375,C_Block,-5.99439568,0.0,3.09360999,0.0,0.34906584,0.0
11,0.41666667,C_Block,-5.97382662,0.0,3.08612346,0.0,0.34906584,0.0
12,0.45833333,C_Block,-5.95109239,0.0,3.07784888,0.0,0.34906584,0.0
13,0.5,C_Block,-5.926193,0.0,3.06878624,0.0,0.34906584,0.0
14,0.54166667,C_Block,-5.89912845,0.0,3.05893555,0.0,0.34906584,0.0
15,0.58333333,C_Block,-5.86989873,0.0,3.0482968,0.0,0.34906584,0.0
16,0.625,C_Block,-5.83850384,0.0,3.03687,0.0,0.34906584,0.0
17,0.66666667,C_Block,-5.8049438,0.0,3.02465514,0.0,0.34906584,0.0
18,0.70833333,C_Block,-5.76921859,0.0,3.01165223,0.0,0.34906584,0.0
19,0.75,C_Block,-5.73132821,0.0,2.99786126,0.0,0.34906584,0.0
20,0.79166667,C_Block,-5.69127267,0.0,2.98328223,0.0,0.34906584,0.0
21,0.83333333,C_Block,-5.64905196,0.0,2.96791515,0.0,0.34906584,0.0
22,0.875,C_Block,-5.60466609,0.0,2.95176002,0.0,0.34906584,0.0
23,0.91666667,C_Block,-5.55811506,0.0,2.93481683,0.0,0.34906584,0.0
24,0.95833333,C_Block,-5.50939886,0.0,2.91708558,0.0,0.34906584,0.0
25,1.0,C_Block,-5.4585175,0.0,2.89856628,0.0,0.34906584,0.0
26,1.04166667,C_Block,-5.40547097,0.0,2.87925892,0.0,0.34906584,0.0
27,1.08333333,C_Block,-5.35025928,0.0,2.85916351,0.0,0.34906584,0.0
28,1.125,C_Block,-5.29288243,0.0,2.83828004,0.0,0.34906584,0.0
29,1.16666667,C_Block,-5.23334041,0.0,2.81660852,0.0,0.34906584,0.0
30,1.20833333,C_Block,-5.17163322,0.0,2.79414894,0.0,0.34906584,0.0
31,1.25,C_Block,-5.10776088,0.0,2.77090131,0.0,0.34906584,0.0
32,1.29166667,C_Block,-5.04172336,0.0,2.74686562,0.0,0.34906584,0.0
33,1.33333333,C_Block,-4.97352069,0.0,2.72204188,0.0,0.34906584,0.0
34,1.375,C_Block,-4.90315284,0.0,2.69643008,0.0,0.34906584,0.0
35,1.41666667,C_Block,-4.83061984,0.0,2.67003022,0.0,0.34906584,0.0
36,1.45833333,C_Block,-4.75592167,0.0,2.64284231,0.0,0.34906584,0.0
37,1.5,C_Block,-4.67905833,0.0,2.61486634,0.0,0.34906584,0.0
38,1.54166667,C_Block,-4.60002984,0.0,2.58610232,0.0,0.34906584,0.0
39,1.58333333,C_Block,-4.51883617,0.0,2.55655025,0.0,0.34906584,0.0
40,1.625,C_Block,-4.43547734,0.0,2.52621012,0.0,0.34906584,0.0
41,1.66666667,C_Block,-4.34995335,0.0,2.49508193,0.0,0.34906584,0.0
42,1.70833333,C_Block,-4.2622642,0.0,2.46316569,0.0,0.34906584,0.0
43,1.75,C_Block,-4.17240988,0.0,2.43046139,0.0,0.34906584,0.0
44,1.79166667,C_Block,-4.08039039,0.0,2.39696903,0.0,0.34906584,0.0
45,1.83333333,C_Block,-3.98620574,0.0,2.36268862,0.0,0.34906584,0.0
46,1.875,C_Block,-3.88985593,0.0,2.32762016,0.0,0.34906584,0.0
47,1.91666667,C_Block,-3.79134095,0.0,2.29176364,0.0,0.34906584,0.0
48,1.95833333,C_Block,-3.69066081,0.0,2.25511907,0.0,0.34906584,0.0
49,2.0,C_Block,-3.5878155,0.0,2.21768644,0.0,0.34906584,0.0
50,2.04166667,C_Block,-3.48280503,0.0,2.17946575,0.0,0.34906584,0.0
51,2.08333333,C_Block,-3.37562939,0.0,2.14045701,0.0,0.34906584,0.0
52,2.125,C_Block,-3.26628859,0.0,2.10066021,0.0,0.34906584,0.0
53,2.16666667,C_Block,-3.15478263,0.0,2.06007536,0.0,0.34906584,0.0
54,2.20833333,C_Block,-3.0411115,0.0,2.01870245,0.0,0.34906584,0.0
55,2.25,C_Block,-2.92527521,0.0,1.97654149,0.0,0.34906584,0.0
