frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,3.00407569,0.0,4.58627464,0.0,0.0,0.0
1,0.0,D_Rod,1.39077578,0.0,5.23809011,0.0,1.95476878,0.0
2,0.04166667,D_Ball,3.00111614,0.0,4.57897505,0.0,0.0,0.0
2,0.04166667,D_Rod,1.38940562,0.0,5.23471067,0.0,1.95719981,0.0
3,0.08333333,D_Ball,2.99216387,0.0,4.55719858,0.0,0.0,0.0
3,0.08333333,D_Rod,1.38526105,0.0,5.22462897,0.0,1.96446681,0.0
4,0.125,D_Ball,2.97696342,0.0,4.5212159,0.0,0.0,0.0
4,0.125,D_Rod,1.37822381,0.0,5.20797032,0.0,1.97652292,0.0
5,0.16666667,D_Ball,2.95507559,0.0,4.4714187,0.0,0.0,0.0
5,0.16666667,D_Rod,1.36809055,0.0,5.18491607,0.0,1.99331176,0.0
6,0.20833333,D_Ball,2.92589346,0.0,4.40832926,0.0,0.0,0.0
6,0.20833333,D_Rod,1.35458031,0.0,5.15570799,0.0,2.01476645,0.0
7,0.25,D_Ball,2.88866338,0.0,4.33261326,0.0,0.0,0.0
7,0.25,D_Rod,1.33734416,0.0,5.12065429,0.0,2.04080844,0.0
8,0.29166667,D_Ball,2.84251118,0.0,4.2450948,0.0,0.0,0.0
8,0.29166667,D_Rod,1.3159774,0.0,5.08013648,0.0,2.07134724,0.0
9,0.33333333,D_Ball,2.78647405,0.0,4.14677214,0.0,0.0,0.0
9,0.33333333,D_Rod,1.29003428,0.0,5.03461673,0.0,2.10627818,0.0
10,0.375,D_Ball,2.71953826,0.0,4.0388323,0.0,0.0,0.0
10,0.375,D_Rod,1.25904549,0.0,4.98464458,0.0,2.14548111,0.0
11,0.41666667,D_Ball,2.6406826,0.0,3.92266268,0.0,0.0,0.0
11,0.41666667,D_Rod,1.22253824,0.0,4.93086235,0.0,2.18881941,0.0
12,0.45833333,D_Ball,2.5489272,0.0,3.79985748,0.0,0.0,0.0
12,0.45833333,D_Rod,1.18005889,0.0,4.87400809,0.0,2.23613787,0.0
13,0.5,D_Ball,2.44338667,0.0,3.67221674,0.0,0.0,0.0
13,0.5,D_Rod,1.13119753,0.0,4.81491516,0.0,2.28726172,0.0
14,0.54166667,D_Ball,2.32332601,0.0,3.54173601,0.0,0.0,0.0
14,0.54166667,D_Rod,1.07561389,0.0,4.75450741,0.0,2.34199476,0.0
15,0.58333333,D_Ball,2.1882172,0.0,3.41058469,0.0,0.0,0.0
15,0.58333333,D_Rod,1.01306352,0.0,4.69378921,0.0,2.40011859,0.0
16,0.625,D_Ball,2.03779344,0.0,3.28107207,0.0,0.0,0.0
16,0.625,D_Rod,0.94342289,0.0,4.63382966,0.0,2.46139264,0.0
17,0.66666667,D_Ball,1.87209787,0.0,3.15560034,0.0,0.0,0.0
17,0.66666667,D_Rod,0.86671198,0.0,4.5757409,0.0,2.52555227,0.0
18,0.70833333,D_Ball,1.69152298,0.0,3.03660535,0.0,0.0,0.0
18,0.70833333,D_Rod,0.78311249,0.0,4.52065062,0.0,2.59231067,0.0
19,0.75,D_Ball,1.4968372,0.0,2.92648675,0.0,0.0,0.0
19,0.75,D_Rod,0.69298019,0.0,4.46966979,0.0,2.66135859,0.0
20,0.79166667,D_Ball,1.28919535,0.0,2.82753043,0.0,0.0,0.0
20,0.79166667,D_Rod,0.5968497,0.0,4.42385668,0.0,2.73236609,0.0
21,0.83333333,D_Ball,1.07013042,0.0,2.7418272,0.0,0.0,0.0
21,0.83333333,D_Rod,0.49543075,0.0,4.38417926,0.0,2.80498481,0.0
22,0.875,D_Ball,0.84152559,0.0,2.67119277,0.0,0.0,0.0
22,0.875,D_Rod,0.38959518,0.0,4.35147813,0.0,2.87884998,0.0
23,0.91666667,D_Ball,0.60556653,0.0,2.61709422,0.0,0.0,0.0
23,0.91666667,D_Rod,0.28035487,0.0,4.32643251,0.0,2.95358372,0.0
24,0.95833333,D_Ball,0.36467594,0.0,2.58058834,0.0,0.0,0.0
24,0.95833333,D_Rod,0.16883145,0.0,4.30953164,0.0,3.0287993,0.0
25,1.0,D_Ball,0.12143384,0.0,2.56227644,0.0,0.0,0.0
25,1.0,D_Rod,0.05621937,0.0,4.30105391,0.0,3.10410428,0.0
26,1.04166667,D_Ball,-0.1215117,0.0,2.56227937,0.0,0.0,0.0
26,1.04166667,D_Rod,-0.05625542,0.0,4.30105526,0.0,3.17910504,0.0
27,1.08333333,D_Ball,-0.36153753,0.0,2.58023439,0.0,0.0,0.0
27,1.08333333,D_Rod,-0.16737849,0.0,4.30936777,0.0,3.25341129,0.0
28,1.125,D_Ball,-0.59613594,0.0,2.61531447,0.0,0.0,0.0
28,1.125,D_Rod,-0.27598886,0.0,4.32560855,0.0,3.32663941,0.0
