frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Ball,-5.8,0.0,0.44,0.0,-0.0,0.0
2,0.04166667,C_Ball,-5.62653281,0.0,0.44,0.0,-0.72277993,0.0
3,0.08333333,C_Ball,-5.45613125,0.0,0.44,0.0,-1.43278646,0.0
4,0.125,C_Ball,-5.28879531,0.0,0.44,0.0,-2.13001943,0.0
5,0.16666667,C_Ball,-5.124525,0.0,0.44,0.0,-2.81447911,0.0
6,0.20833333,C_Ball,-4.96332031,0.0,0.44,0.0,-3.48616529,0.0
7,0.25,C_Ball,-4.80518125,0.0,0.44,0.0,-4.14507818,0.0
8,0.29166667,C_Ball,-4.65010781,0.0,0.44,0.0,-4.79121733,0.0
9,0.33333333,C_Ball,-4.4981,0.0,0.44,0.0,-5.42458344,0.0
10,0.375,C_Ball,-4.34915781,0.0,0.44,0.0,-6.04517555,0.0
11,0.41666667,C_Ball,-4.20328125,0.0,0.44,0.0,-6.65299463,0.0
12,0.45833333,C_Ball,-4.06047031,0.0,0.44,0.0,-7.2480402,0.0
13,0.5,C_Ball,-3.920725,0.0,0.44,0.0,-7.83031273,0.0
14,0.54166667,C_Ball,-3.78404531,0.0,0.44,0.0,-8.39981079,0.0
15,0.58333333,C_Ball,-3.65043125,0.0,0.44,0.0,-8.95653629,0.0
16,0.625,C_Ball,-3.51988281,0.0,0.44,0.0,-9.50048828,0.0
17,0.66666667,C_Ball,-3.3924,0.0,0.44,0.0,-10.03166676,0.0
18,0.70833333,C_Ball,-3.26798281,0.0,0.44,0.0,-10.55007172,0.0
19,0.75,C_Ball,-3.14663125,0.0,0.44,0.0,-11.05570316,0.0
20,0.79166667,C_Ball,-3.02834531,0.0,0.44,0.0,-11.5485611,0.0
21,0.83333333,C_Ball,-2.913125,0.0,0.44,0.0,-12.02864552,0.0
22,0.875,C_Ball,-2.80097031,0.0,0.44,0.0,-12.49595737,0.0
23,0.91666667,C_Ball,-2.69188125,0.0,0.44,0.0,-12.95049477,0.0
24,0.95833333,C_Ball,-2.58585781,0.0,0.44,0.0,-13.39225864,0.0
25,1.0,C_Ball,-2.4829,0.0,0.44,0.0,-13.82124996,0.0
26,1.04166667,C_Ball,-2.38300781,0.0,0.44,0.0,-14.23746777,0.0
27,1.08333333,C_Ball,-2.28618125,0.0,0.44,0.0,-14.6409111,0.0
28,1.125,C_Ball,-2.19242031,0.0,0.44,0.0,-15.03158188,0.0
