frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,0.93549428,0.0,2.69884545,0.0,0.0,0.0
1,0.0,D_Rod,0.41893874,0.0,3.85904818,0.0,2.72271371,0.0
2,0.04166667,D_Ball,0.92139189,0.0,2.6926232,0.0,0.0,0.0
2,0.04166667,D_Rod,0.41262332,0.0,3.85626169,0.0,2.72941542,0.0
3,0.08333333,D_Ball,0.90122737,0.0,2.68392126,0.0,0.0,0.0
3,0.08333333,D_Rod,0.40359313,0.0,3.85236474,0.0,2.73896408,0.0
4,0.125,D_Ball,0.87522645,0.0,2.67303534,0.0,0.0,0.0
4,0.125,D_Rod,0.39194924,0.0,3.84748974,0.0,2.75121975,0.0
5,0.16666667,D_Ball,0.84363958,0.0,2.66031024,0.0,0.0,0.0
5,0.16666667,D_Rod,0.37780381,0.0,3.84179111,0.0,2.76602602,0.0
6,0.20833333,D_Ball,0.80674536,0.0,2.64612862,0.0,0.0,0.0
6,0.20833333,D_Rod,0.36128162,0.0,3.83544021,0.0,2.78321123,0.0
7,0.25,D_Ball,0.76485366,0.0,2.63089906,0.0,0.0,0.0
7,0.25,D_Rod,0.34252142,0.0,3.82862001,0.0,2.8025918,0.0
8,0.29166667,D_Ball,0.71830815,0.0,2.61504384,0.0,0.0,0.0
8,0.29166667,D_Rod,0.32167713,0.0,3.82151963,0.0,2.82397127,0.0
9,0.33333333,D_Ball,0.66748788,0.0,2.59898661,0.0,0.0,0.0
9,0.33333333,D_Rod,0.29891848,0.0,3.81432879,0.0,2.84714413,0.0
10,0.375,D_Ball,0.61280763,0.0,2.58314033,0.0,0.0,0.0
10,0.375,D_Rod,0.27443124,0.0,3.80723241,0.0,2.87189698,0.0
11,0.41666667,D_Ball,0.55471692,0.0,2.5678958,0.0,0.0,0.0
11,0.41666667,D_Rod,0.24841671,0.0,3.80040551,0.0,2.89800978,0.0
12,0.45833333,D_Ball,0.49369747,0.0,2.55361116,0.0,0.0,0.0
12,0.45833333,D_Rod,0.22109061,0.0,3.79400848,0.0,2.92525816,0.0
13,0.5,D_Ball,0.43025938,0.0,2.54060254,0.0,0.0,0.0
13,0.5,D_Rod,0.19268137,0.0,3.78818288,0.0,2.95341468,0.0
14,0.54166667,D_Ball,0.36493582,0.0,2.52913632,0.0,0.0,0.0
14,0.54166667,D_Rod,0.16342778,0.0,3.783048,0.0,2.98225141,0.0
15,0.58333333,D_Ball,0.2982767,0.0,2.5194231,0.0,0.0,0.0
15,0.58333333,D_Rod,0.13357609,0.0,3.77869817,0.0,3.01154089,0.0
16,0.625,D_Ball,0.2308415,0.0,2.51161362,0.0,0.0,0.0
16,0.625,D_Rod,0.10337684,0.0,3.77520088,0.0,3.04105759,0.0
17,0.66666667,D_Ball,0.16319142,0.0,2.50579675,0.0,0.0,0.0
17,0.66666667,D_Rod,0.07308138,0.0,3.77259594,0.0,3.07058024,0.0
