frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,A_Ball,-6.0,0.0,1.2,0.0,-0.0,0.0
2,0.04166667,A_Ball,-5.8,0.0,1.52074653,0.0,-0.83333331,0.0
3,0.08333333,A_Ball,-5.6,0.0,1.83298611,0.0,-1.66666663,0.0
4,0.125,A_Ball,-5.4,0.0,2.13671875,0.0,-2.5,0.0
5,0.16666667,A_Ball,-5.2,0.0,2.43194444,0.0,-3.33333325,0.0
6,0.20833333,A_Ball,-5.0,0.0,2.71866319,0.0,-4.16666651,0.0
7,0.25,A_Ball,-4.8,0.0,2.996875,0.0,-5.0,0.0
8,0.29166667,A_Ball,-4.6,0.0,3.26657986,0.0,-5.83333349,0.0
9,0.33333333,A_Ball,-4.4,0.0,3.52777778,0.0,-6.66666651,0.0
10,0.375,A_Ball,-4.2,0.0,3.78046875,0.0,-7.5,0.0
11,0.41666667,A_Ball,-4.0,0.0,4.02465278,0.0,-8.33333302,0.0
12,0.45833333,A_Ball,-3.8,0.0,4.26032986,0.0,-9.16666698,0.0
13,0.5,A_Ball,-3.6,0.0,4.4875,0.0,-10.0,0.0
14,0.54166667,A_Ball,-3.4,0.0,4.70616319,0.0,-10.83333302,0.0
15,0.58333333,A_Ball,-3.2,0.0,4.91631944,0.0,-11.66666698,0.0
16,0.625,A_Ball,-3.0,0.0,5.11796875,0.0,-12.5,0.0
17,0.66666667,A_Ball,-2.8,0.0,5.31111111,0.0,-13.33333302,0.0
18,0.70833333,A_Ball,-2.6,0.0,5.49574653,0.0,-14.16666698,0.0
19,0.75,A_Ball,-2.4,0.0,5.671875,0.0,-15.0,0.0
20,0.79166667,A_Ball,-2.2,0.0,5.83949653,0.0,-15.83333302,0.0
21,0.83333333,A_Ball,-2.0,0.0,5.99861111,0.0,-16.66666603,0.0
22,0.875,A_Ball,-1.8,0.0,6.14921875,0.0,-17.5,0.0
23,0.91666667,A_Ball,-1.6,0.0,6.29131944,0.0,-18.33333397,0.0
24,0.95833333,A_Ball,-1.4,0.0,6.42491319,0.0,-19.16666603,0.0
25,1.0,A_Ball,-1.2,0.0,6.55,0.0,-20.0,0.0
26,1.04166667,A_Ball,-1.0,0.0,6.66657986,0.0,-20.83333397,0.0
27,1.08333333,A_Ball,-0.8,0.0,6.77465278,0.0,-21.66666603,0.0
28,1.125,A_Ball,-0.6,0.0,6.87421875,0.0,-22.5,0.0
29,1.16666667,A_Ball,-0.4,0.0,6.96527778,0.0,-23.33333397,0.0
30,1.20833333,A_Ball,-0.2,0.0,7.04782986,0.0,-24.16666603,0.0
31,1.25,A_Ball,0.0,0.0,7.121875,0.0,-25.0,0.0
32,1.29166667,A_Ball,0.2,0.0,7.18741319,0.0,-25.83333397,0.0
33,1.33333333,A_Ball,0.4,0.0,7.24444444,0.0,-26.66666603,0.0
34,1.375,A_Ball,0.6,0.0,7.29296875,0.0,-27.5,0.0
35,1.41666667,A_Ball,0.8,0.0,7.33298611,0.0,-28.33333397,0.0
36,1.45833333,A_Ball,1.0,0.0,7.36449653,0.0,-29.16666603,0.0
37,1.5,A_Ball,1.2,0.0,7.3875,0.0,-30.0,0.0
38,1.54166667,A_Ball,1.4,0.0,7.40199653,0.0,-30.83333397,0.0
39,1.58333333,A_Ball,1.6,0.0,7.40798611,0.0,-31.66666603,0.0
40,1.625,A_Ball,1.8,0.0,7.40546875,0.0,-32.5,0.0
41,1.66666667,A_Ball,2.0,0.0,7.39444444,0.0,-33.33333206,0.0
42,1.70833333,A_Ball,2.2,0.0,7.37491319,0.0,-34.16666794,0.0
43,1.75,A_Ball,2.4,0.0,7.346875,0.0,-35.0,0.0
44,1.79166667,A_Ball,2.6,0.0,7.31032986,0.0,-35.83333206,0.0
45,1.83333333,A_Ball,2.8,0.0,7.26527778,0.0,-36.66666794,0.0
46,1.875,A_Ball,3.0,0.0,7.21171875,0.0,-37.5,0.0
47,1.91666667,A_Ball,3.2,0.0,7.14965278,0.0,-38.33333206,0.0
48,1.95833333,A_Ball,3.4,0.0,7.07907986,0.0,-39.16666794,0.0
49,2.0,A_Ball,3.6,0.0,7.0,0.0,-40.0,0.0
50,2.04166667,A_Ball,3.8,0.0,6.91241319,0.0,-40.83333206,0.0
51,2.08333333,A_Ball,4.0,0.0,6.81631944,0.0,-41.66666794,0.0
