frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Block,-6.08208483,0.0,3.12552623,0.0,0.34906584,0.0
2,0.04166667,C_Block,-6.08115264,0.0,3.12518694,0.0,0.34906584,0.0
3,0.08333333,C_Block,-6.07835606,0.0,3.12416907,0.0,0.34906584,0.0
4,0.125,C_Block,-6.0736951,0.0,3.12247262,0.0,0.34906584,0.0
5,0.16666667,C_Block,-6.06716976,0.0,3.12009758,0.0,0.34906584,0.0
6,0.20833333,C_Block,-6.05878002,0.0,3.11704397,0.0,0.34906584,0.0
7,0.25,C_Block,-6.04852591,0.0,3.11331178,0.0,0.34906584,0.0
8,0.29166667,C_Block,-6.0364074,0.0,3.108901,0.0,0.34906584,0.0
9,0.33333333,C_Block,-6.02242452,0.0,3.10381165,0.0,0.34906584,0.0
10,0.375,C_Block,-6.00657725,0.0,3.09804371,0.0,0.34906584,0.0
11,0.41666667,C_Block,-5.98886559,0.0,3.0915972,0.0,0.34906584,0.0
12,0.45833333,C_Block,-5.96928955,0.0,3.0844721,0.0,0.34906584,0.0
13,0.5,C_Block,-5.94784912,0.0,3.07666842,0.0,0.34906584,0.0
14,0.54166667,C_Block,-5.92454431,0.0,3.06818617,0.0,0.34906584,0.0
15,0.58333333,C_Block,-5.89937511,0.0,3.05902533,0.0,0.34906584,0.0
16,0.625,C_Block,-5.87234153,0.0,3.04918591,0.0,0.34906584,0.0
17,0.66666667,C_Block,-5.84344357,0.0,3.03866791,0.0,0.34906584,0.0
18,0.70833333,C_Block,-5.81268122,0.0,3.02747133,0.0,0.34906584,0.0
19,0.75,C_Block,-5.78005448,0.0,3.01559617,0.0,0.34906584,0.0
20,0.79166667,C_Block,-5.74556336,0.0,3.00304243,0.0,0.34906584,0.0
21,0.83333333,C_Block,-5.70920785,0.0,2.98981011,0.0,0.34906584,0.0
22,0.875,C_Block,-5.67098796,0.0,2.9758992,0.0,0.34906584,0.0
23,0.91666667,C_Block,-5.63090369,0.0,2.96130972,0.0,0.34906584,0.0
24,0.95833333,C_Block,-5.58895503,0.0,2.94604166,0.0,0.34906584,0.0
25,1.0,C_Block,-5.54514198,0.0,2.93009501,0.0,0.34906584,0.0
26,1.04166667,C_Block,-5.49946455,0.0,2.91346979,0.0,0.34906584,0.0
27,1.08333333,C_Block,-5.45192274,0.0,2.89616598,0.0,0.34906584,0.0
28,1.125,C_Block,-5.40251654,0.0,2.8781836,0.0,0.34906584,0.0
29,1.16666667,C_Block,-5.35124595,0.0,2.85952263,0.0,0.34906584,0.0
30,1.20833333,C_Block,-5.29811098,0.0,2.84018308,0.0,0.34906584,0.0
31,1.25,C_Block,-5.24311163,0.0,2.82016495,0.0,0.34906584,0.0
32,1.29166667,C_Block,-5.18624789,0.0,2.79946825,0.0,0.34906584,0.0
33,1.33333333,C_Block,-5.12751976,0.0,2.77809296,0.0,0.34906584,0.0
34,1.375,C_Block,-5.06692725,0.0,2.75603909,0.0,0.34906584,0.0
35,1.41666667,C_Block,-5.00447036,0.0,2.73330664,0.0,0.34906584,0.0
36,1.45833333,C_Block,-4.94014908,0.0,2.7098956,0.0,0.34906584,0.0
37,1.5,C_Block,-4.87396341,0.0,2.68580599,0.0,0.34906584,0.0
38,1.54166667,C_Block,-4.80591336,0.0,2.6610378,0.0,0.34906584,0.0
39,1.58333333,C_Block,-4.73599893,0.0,2.63559103,0.0,0.34906584,0.0
40,1.625,C_Block,-4.66422011,0.0,2.60946567,0.0,0.34906584,0.0
41,1.66666667,C_Block,-4.59057691,0.0,2.58266174,0.0,0.34906584,0.0
42,1.70833333,C_Block,-4.51506932,0.0,2.55517922,0.0,0.34906584,0.0
43,1.75,C_Block,-4.43769735,0.0,2.52701813,0.0,0.34906584,0.0
44,1.79166667,C_Block,-4.35846099,0.0,2.49817845,0.0,0.34906584,0.0
45,1.83333333,C_Block,-4.27736024,0.0,2.4686602,0.0,0.34906584,0.0
46,1.875,C_Block,-4.19439511,0.0,2.43846336,0.0,0.34906584,0.0
47,1.91666667,C_Block,-4.1095656,0.0,2.40758794,0.0,0.34906584,0.0
48,1.95833333,C_Block,-4.0228717,0.0,2.37603394,0.0,0.34906584,0.0
49,2.0,C_Block,-3.93431342,0.0,2.34380136,0.0,0.34906584,0.0
50,2.04166667,C_Block,-3.84389075,0.0,2.3108902,0.0,0.34906584,0.0
51,2.08333333,C_Block,-3.7516037,0.0,2.27730046,0.0,0.34906584,0.0
52,2.125,C_Block,-3.65745226,0.0,2.24303214,0.0,0.34906584,0.0
53,2.16666667,C_Block,-3.56143644,0.0,2.20808524,0.0,0.34906584,0.0
54,2.20833333,C_Block,-3.46355623,0.0,2.17245976,0.0,0.34906584,0.0
55,2.25,C_Block,-3.36381164,0.0,2.1361557,0.0,0.34906584,0.0
56,2.29166667,C_Block,-3.26220266,0.0,2.09917305,0.0,0.34906584,0.0
57,2.33333333,C_Block,-3.1587293,0.0,2.06151183,0.0,0.34906584,0.0
58,2.375,C_Block,-3.05339155,0.0,2.02317203,0.0,0.34906584,0.0
59,2.41666667,C_Block,-2.94618942,0.0,1.98415364,0.0,0.34906584,0.0
60,2.45833333,C_Block,-2.8371229,0.0,1.94445667,0.0,0.34906584,0.0
61,2.5,C_Block,-2.726192,0.0,1.90408113,0.0,0.34906584,0.0
62,2.54166667,C_Block,-2.61339671,0.0,1.863027,0.0,0.34906584,0.0
63,2.58333333,C_Block,-2.49873704,0.0,1.82129429,0.0,0.34906584,0.0
64,2.625,C_Block,-2.38221298,0.0,1.778883,0.0,0.34906584,0.0
65,2.66666667,C_Block,-2.26382454,0.0,1.73579314,0.0,0.34906584,0.0
66,2.70833333,C_Block,-2.14357172,0.0,1.69202469,0.0,0.34906584,0.0
67,2.75,C_Block,-2.0214545,0.0,1.64757766,0.0,0.34906584,0.0
68,2.79166667,C_Block,-1.89747291,0.0,1.60245205,0.0,0.34906584,0.0
69,2.83333333,C_Block,-1.77162693,0.0,1.55664785,0.0,0.34906584,0.0
70,2.875,C_Block,-1.64391656,0.0,1.51016508,0.0,0.34906584,0.0
71,2.91666667,C_Block,-1.51434181,0.0,1.46300373,0.0,0.34906584,0.0
72,2.95833333,C_Block,-1.38290267,0.0,1.4151638,0.0,0.34906584,0.0
73,3.0,C_Block,-1.24959915,0.0,1.36664528,0.0,0.34906584,0.0
74,3.04166667,C_Block,-1.11443125,0.0,1.31744819,0.0,0.34906584,0.0
75,3.08333333,C_Block,-0.97739896,0.0,1.26757251,0.0,0.34906584,0.0
76,3.125,C_Block,-0.83850228,0.0,1.21701826,0.0,0.34906584,0.0
77,3.16666667,C_Block,-0.69774122,0.0,1.16578542,0.0,0.34906584,0.0
78,3.20833333,C_Block,-0.55511577,0.0,1.11387401,0.0,0.34906584,0.0
79,3.25,C_Block,-0.41062594,0.0,1.06128401,0.0,0.34906584,0.0
80,3.29166667,C_Block,-0.26427173,0.0,1.00801543,0.0,0.34906584,0.0
81,3.33333333,C_Block,-0.11605313,0.0,0.95406827,0.0,0.34906584,0.0
82,3.375,C_Block,0.03402986,0.0,0.89944253,0.0,0.34906584,0.0
83,3.41666667,C_Block,0.18597723,0.0,0.84413821,0.0,0.34906584,0.0
84,3.45833333,C_Block,0.33978898,0.0,0.78815531,0.0,0.34906584,0.0
85,3.5,C_Block,0.49546512,0.0,0.73149383,0.0,0.34906584,0.0
86,3.54166667,C_Block,0.65300565,0.0,0.67415377,0.0,0.34906584,0.0
87,3.58333333,C_Block,0.81241056,0.0,0.61613513,0.0,0.34906584,0.0
88,3.625,C_Block,0.97367985,0.0,0.5574379,0.0,0.34906584,0.0
89,3.66666667,C_Block,1.13681353,0.0,0.4980621,0.0,0.34906584,0.0
90,3.70833333,C_Block,1.30181159,0.0,0.43800772,0.0,0.34906584,0.0
91,3.75,C_Block,1.46855716,0.0,0.37489131,0.0,0.0,0.0
92,3.79166667,C_Block,1.63312847,0.0,0.37489131,0.0,0.0,0.0
93,3.83333333,C_Block,1.79361228,0.0,0.37489131,0.0,0.0,0.0
94,3.875,C_Block,1.95000859,0.0,0.37489131,0.0,0.0,0.0
95,3.91666667,C_Block,2.1023174,0.0,0.37489131,0.0,0.0,0.0
96,3.95833333,C_Block,2.25053872,0.0,0.37489131,0.0,0.0,0.0
97,4.0,C_Block,2.39467253,0.0,0.37489131,0.0,0.0,0.0
98,4.04166667,C_Block,2.53471884,0.0,0.37489131,0.0,0.0,0.0
99,4.08333333,C_Block,2.67067765,0.0,0.37489131,0.0,0.0,0.0
100,4.125,C_Block,2.80254897,0.0,0.37489131,0.0,0.0,0.0
101,4.16666667,C_Block,2.93033278,0.0,0.37489131,0.0,0.0,0.0
102,4.20833333,C_Block,3.05402909,0.0,0.37489131,0.0,0.0,0.0
103,4.25,C_Block,3.1736379,0.0,0.37489131,0.0,0.0,0.0
104,4.29166667,C_Block,3.28915922,0.0,0.37489131,0.0,0.0,0.0
105,4.33333333,C_Block,3.40059303,0.0,0.37489131,0.0,0.0,0.0
106,4.375,C_Block,3.50793934,0.0,0.37489131,0.0,0.0,0.0
107,4.41666667,C_Block,3.61119815,0.0,0.37489131,0.0,0.0,0.0
108,4.45833333,C_Block,3.71036946,0.0,0.37489131,0.0,0.0,0.0
109,4.5,C_Block,3.80545328,0.0,0.37489131,0.0,0.0,0.0
110,4.54166667,C_Block,3.89644959,0.0,0.37489131,0.0,0.0,0.0
111,4.58333333,C_Block,3.9833584,0.0,0.37489131,0.0,0.0,0.0
112,4.625,C_Block,4.06617971,0.0,0.37489131,0.0,0.0,0.0
113,4.66666667,C_Block,4.14491353,0.0,0.37489131,0.0,0.0,0.0
114,4.70833333,C_Block,4.21955984,0.0,0.37489131,0.0,0.0,0.0
115,4.75,C_Block,4.29011865,0.0,0.37489131,0.0,0.0,0.0
116,4.79166667,C_Block,4.35658996,0.0,0.37489131,0.0,0.0,0.0
117,4.83333333,C_Block,4.41897377,0.0,0.37489131,0.0,0.0,0.0
118,4.875,C_Block,4.47727009,0.0,0.37489131,0.0,0.0,0.0
119,4.91666667,C_Block,4.5314789,0.0,0.37489131,0.0,0.0,0.0
120,4.95833333,C_Block,4.58160021,0.0,0.37489131,0.0,0.0,0.0
121,5.0,C_Block,4.62763402,0.0,0.37489131,0.0,0.0,0.0
122,5.04166667,C_Block,4.66958034,0.0,0.37489131,0.0,0.0,0.0
123,5.08333333,C_Block,4.70743915,0.0,0.37489131,0.0,0.0,0.0
124,5.125,C_Block,4.74121046,0.0,0.37489131,0.0,0.0,0.0
125,5.16666667,C_Block,4.77089427,0.0,0.37489131,0.0,0.0,0.0
126,5.20833333,C_Block,4.79649059,0.0,0.37489131,0.0,0.0,0.0
127,5.25,C_Block,4.8179994,0.0,0.37489131,0.0,0.0,0.0
128,5.29166667,C_Block,4.83542071,0.0,0.37489131,0.0,0.0,0.0
129,5.33333333,C_Block,4.84875452,0.0,0.37489131,0.0,0.0,0.0
130,5.375,C_Block,4.85800083,0.0,0.37489131,0.0,0.0,0.0
131,5.41666667,C_Block,4.86315965,0.0,0.37489131,0.0,0.0,0.0
132,5.45833333,C_Block,4.86434663,0.0,0.37489131,0.0,0.0,0.0
133,5.5,C_Block,4.86434663,0.0,0.37489131,0.0,0.0,0.0
