frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,3.00407569,0.0,4.58627464,0.0,0.0,0.0
1,0.0,D_Rod,1.39077578,0.0,5.23809011,0.0,1.95476878,0.0
2,0.04166667,D_Ball,3.00113254,0.0,4.57901536,0.0,0.0,0.0
2,0.04166667,D_Rod,1.38941321,0.0,5.23472934,0.0,1.95718646,0.0
3,0.08333333,D_Ball,2.99229635,0.0,4.55751759,0.0,0.0,0.0
3,0.08333333,D_Rod,1.38532239,0.0,5.22477666,0.0,1.96436012,0.0
4,0.125,D_Ball,2.97741949,0.0,4.52227812,0.0,0.0,0.0
4,0.125,D_Rod,1.37843495,0.0,5.20846209,0.0,1.97616613,0.0
5,0.16666667,D_Ball,2.95618822,0.0,4.47389624,0.0,0.0,0.0
5,0.16666667,D_Rod,1.36860566,0.0,5.18606307,0.0,1.99247348,0.0
6,0.20833333,D_Ball,2.9281469,0.0,4.41307688,0.0,0.0,0.0
6,0.20833333,D_Rod,1.35562357,0.0,5.15790597,0.0,2.01314449,0.0
7,0.25,D_Ball,2.89272492,0.0,4.34063626,0.0,0.0,0.0
7,0.25,D_Rod,1.3392245,0.0,5.12436864,0.0,2.03803301,0.0
8,0.29166667,D_Ball,2.84926662,0.0,4.25750859,0.0,0.0,0.0
8,0.29166667,D_Rod,1.31910492,0.0,5.08588361,0.0,2.06698537,0.0
9,0.33333333,D_Ball,2.79706384,0.0,4.16475265,0.0,0.0,0.0
9,0.33333333,D_Rod,1.29493696,0.0,5.04294104,0.0,2.09983778,0.0
10,0.375,D_Ball,2.73539104,0.0,4.06355656,0.0,0.0,0.0
10,0.375,D_Rod,1.26638474,0.0,4.996091,0.0,2.1364162,0.0
11,0.41666667,D_Ball,2.66354255,0.0,3.95523955,0.0,0.0,0.0
11,0.41666667,D_Rod,1.23312155,0.0,4.94594424,0.0,2.17653632,0.0
12,0.45833333,D_Ball,2.58087113,0.0,3.84124933,0.0,0.0,0.0
12,0.45833333,D_Rod,1.19484775,0.0,4.89317099,0.0,2.22000051,0.0
13,0.5,D_Ball,2.48682722,0.0,3.72315374,0.0,0.0,0.0
13,0.5,D_Rod,1.1513089,0.0,4.8384971,0.0,2.26659918,0.0
14,0.54166667,D_Ball,2.38099715,0.0,3.60262598,0.0,0.0,0.0
14,0.54166667,D_Rod,1.10231349,0.0,4.78269721,0.0,2.31610942,0.0
15,0.58333333,D_Ball,2.26313921,0.0,3.48142265,0.0,0.0,0.0
15,0.58333333,D_Rod,1.04774963,0.0,4.72658456,0.0,2.36829376,0.0
16,0.625,D_Ball,2.13321547,0.0,3.36135453,0.0,0.0,0.0
16,0.625,D_Rod,0.98759976,0.0,4.67099747,0.0,2.42290187,0.0
17,0.66666667,D_Ball,1.99141774,0.0,3.24425052,0.0,0.0,0.0
17,0.66666667,D_Rod,0.92195266,0.0,4.61678265,0.0,2.47966933,0.0
18,0.70833333,D_Ball,1.83818559,0.0,3.13191571,0.0,0.0,0.0
18,0.70833333,D_Rod,0.85101185,0.0,4.56477579,0.0,2.53831911,0.0
19,0.75,D_Ball,1.67421512,0.0,3.02608513,0.0,0.0,0.0
19,0.75,D_Rod,0.77509959,0.0,4.51578015,0.0,2.598562,0.0
20,0.79166667,D_Ball,1.50045706,0.0,2.92837526,0.0,0.0,0.0
20,0.79166667,D_Rod,0.69465604,0.0,4.4705441,0.0,2.66009831,0.0
21,0.83333333,D_Ball,1.31810358,0.0,2.840236,0.0,0.0,0.0
21,0.83333333,D_Rod,0.61023314,0.0,4.42973889,0.0,2.72262001,0.0
22,0.875,D_Ball,1.12856405,0.0,2.76290547,0.0,0.0,0.0
22,0.875,D_Rod,0.52248336,0.0,4.39393772,0.0,2.7858119,0.0
23,0.91666667,D_Ball,0.93343038,0.0,2.69737084,0.0,0.0,0.0
23,0.91666667,D_Rod,0.43214369,0.0,4.36359761,0.0,2.84935498,0.0
24,0.95833333,D_Ball,0.73443369,0.0,2.64433729,0.0,0.0,0.0
24,0.95833333,D_Rod,0.3400156,0.0,4.33904504,0.0,2.9129281,0.0
25,1.0,D_Ball,0.53339448,0.0,2.6042074,0.0,0.0,0.0
25,1.0,D_Rod,0.24694189,0.0,4.32046639,0.0,2.97621179,0.0
26,1.04166667,D_Ball,0.33216918,0.0,2.57707219,0.0,0.0,0.0
26,1.04166667,D_Rod,0.15378203,0.0,4.30790379,0.0,3.03889084,0.0
27,1.08333333,D_Ball,0.13259603,0.0,2.56271436,0.0,0.0,0.0
27,1.08333333,D_Rod,0.06138705,0.0,4.30125665,0.0,3.10065651,0.0
28,1.125,D_Ball,-0.06355659,0.0,2.56062343,0.0,0.0,0.0
28,1.125,D_Rod,-0.02942435,0.0,4.30028863,0.0,3.16121006,0.0
29,1.16666667,D_Ball,-0.25463671,0.0,2.57002165,0.0,0.0,0.0
