frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,F_Ball,0.18764491,0.0,2.7165527,0.0,0.0,0.0
1,0.0,F_Rod,0.08545168,0.0,4.17798404,0.0,3.07177949,0.0
2,0.04166667,F_Ball,0.1879601,0.0,2.71657476,0.0,0.0,0.0
2,0.04166667,F_Rod,0.08559521,0.0,4.17799408,0.0,3.07166195,0.0
3,0.08333333,F_Ball,0.18889496,0.0,2.71664041,0.0,0.0,0.0
3,0.08333333,F_Rod,0.08602094,0.0,4.17802398,0.0,3.07131362,0.0
4,0.125,F_Ball,0.19042287,0.0,2.7167484,0.0,0.0,0.0
4,0.125,F_Rod,0.08671673,0.0,4.17807316,0.0,3.07074428,0.0
5,0.16666667,F_Ball,0.19250336,0.0,2.71689686,0.0,0.0,0.0
5,0.16666667,F_Rod,0.08766417,0.0,4.17814076,0.0,3.06996894,0.0
6,0.20833333,F_Ball,0.19508271,0.0,2.71708317,0.0,0.0,0.0
6,0.20833333,F_Rod,0.08883878,0.0,4.17822561,0.0,3.0690074,0.0
7,0.25,F_Ball,0.19809457,0.0,2.71730387,0.0,0.0,0.0
7,0.25,F_Rod,0.09021035,0.0,4.17832611,0.0,3.06788492,0.0
8,0.29166667,F_Ball,0.20146076,0.0,2.71755456,0.0,0.0,0.0
8,0.29166667,F_Rod,0.09174328,0.0,4.17844027,0.0,3.06662989,0.0
9,0.33333333,F_Ball,0.2050922,0.0,2.71782976,0.0,0.0,0.0
9,0.33333333,F_Rod,0.09339701,0.0,4.1785656,0.0,3.06527615,0.0
10,0.375,F_Ball,0.20888996,0.0,2.71812286,0.0,0.0,0.0
10,0.375,F_Rod,0.09512647,0.0,4.17869907,0.0,3.06386018,0.0
11,0.41666667,F_Ball,0.21274637,0.0,2.71842603,0.0,0.0,0.0
11,0.41666667,F_Rod,0.09688264,0.0,4.17883713,0.0,3.06242204,0.0
12,0.45833333,F_Ball,0.21654628,0.0,2.71873021,0.0,0.0,0.0
12,0.45833333,F_Rod,0.09861308,0.0,4.17897565,0.0,3.06100488,0.0
13,0.5,F_Ball,0.22016834,0.0,2.7190252,0.0,0.0,0.0
13,0.5,F_Rod,0.10026253,0.0,4.17910999,0.0,3.059654,0.0
14,0.54166667,F_Ball,0.22348643,0.0,2.71929975,0.0,0.0,0.0
14,0.54166667,F_Rod,0.10177356,0.0,4.17923502,0.0,3.05841637,0.0
15,0.58333333,F_Ball,0.22637104,0.0,2.7195418,0.0,0.0,0.0
15,0.58333333,F_Rod,0.10308718,0.0,4.17934524,0.0,3.05734015,0.0
16,0.625,F_Ball,0.22869075,0.0,2.71973872,0.0,0.0,0.0
16,0.625,F_Rod,0.10414356,0.0,4.17943492,0.0,3.05647469,0.0
17,0.66666667,F_Ball,0.23031376,0.0,2.71987769,0.0,0.0,0.0
17,0.66666667,F_Rod,0.10488266,0.0,4.17949821,0.0,3.0558691,0.0
18,0.70833333,F_Ball,0.23110933,0.0,2.71994618,0.0,0.0,0.0
18,0.70833333,F_Rod,0.10524496,0.0,4.17952939,0.0,3.05557227,0.0
19,0.75,F_Ball,0.23094936,0.0,2.71993239,0.0,0.0,0.0
19,0.75,F_Rod,0.1051721,0.0,4.17952311,0.0,3.05563211,0.0
20,0.79166667,F_Ball,0.22970981,0.0,2.71982586,0.0,0.0,0.0
20,0.79166667,F_Rod,0.10460763,0.0,4.1794746,0.0,3.05609465,0.0
21,0.83333333,F_Ball,0.22727223,0.0,2.71961806,0.0,0.0,0.0
21,0.83333333,F_Rod,0.10349758,0.0,4.17937997,0.0,3.05700397,0.0
22,0.875,F_Ball,0.22352516,0.0,2.71930298,0.0,0.0,0.0
22,0.875,F_Rod,0.1017912,0.0,4.17923649,0.0,3.05840182,0.0
23,0.91666667,F_Ball,0.21836552,0.0,2.71887775,0.0,0.0,0.0
23,0.91666667,F_Rod,0.09944155,0.0,4.17904284,0.0,3.06032658,0.0
24,0.95833333,F_Ball,0.21169998,0.0,2.71834321,0.0,0.0,0.0
24,0.95833333,F_Rod,0.09640612,0.0,4.17879942,0.0,3.06281233,0.0
25,1.0,F_Ball,0.20344622,0.0,2.71770441,0.0,0.0,0.0
25,1.0,F_Rod,0.09264744,0.0,4.17850851,0.0,3.06588984,0.0
26,1.04166667,F_Ball,0.19353415,0.0,2.71697102,0.0,0.0,0.0
26,1.04166667,F_Rod,0.08813358,0.0,4.17817453,0.0,3.06958461,0.0
27,1.08333333,F_Ball,0.18190707,0.0,2.71615764,0.0,0.0,0.0
27,1.08333333,F_Rod,0.08283872,0.0,4.17780413,0.0,3.07391763,0.0
28,1.125,F_Ball,0.16852271,0.0,2.71528398,0.0,0.0,0.0
28,1.125,F_Rod,0.07674361,0.0,4.17740627,0.0,3.07890368,0.0
29,1.16666667,F_Ball,0.15335421,0.0,2.71437484,0.0,0.0,0.0
