frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,A_Ball,-6.0,0.0,1.1,0.0,-0.0,0.0
2,0.04166667,A_Ball,-5.78414381,0.0,1.41528992,0.0,-0.89940083,0.0
3,0.08333333,A_Ball,-5.56990048,0.0,1.71125646,0.0,-1.79208136,0.0
4,0.125,A_Ball,-5.35725796,0.0,1.98804402,0.0,-2.67809176,0.0
5,0.16666667,A_Ball,-5.1462043,0.0,2.24579589,0.0,-3.557482,0.0
6,0.20833333,A_Ball,-4.93672762,0.0,2.48465431,0.0,-4.43030167,0.0
7,0.25,A_Ball,-4.72881614,0.0,2.70476045,0.0,-5.29659939,0.0
8,0.29166667,A_Ball,-4.52245816,0.0,2.90625443,0.0,-6.15642452,0.0
9,0.33333333,A_Ball,-4.31764208,0.0,3.08927532,0.0,-7.00982475,0.0
10,0.375,A_Ball,-4.11435637,0.0,3.25396114,0.0,-7.85684824,0.0
11,0.41666667,A_Ball,-3.91258961,0.0,3.4004489,0.0,-8.69754314,0.0
12,0.45833333,A_Ball,-3.71233043,0.0,3.52887456,0.0,-9.53195667,0.0
13,0.5,A_Ball,-3.51356757,0.0,3.6393731,0.0,-10.36013508,0.0
14,0.54166667,A_Ball,-3.31628987,0.0,3.73207845,0.0,-11.18212509,0.0
15,0.58333333,A_Ball,-3.12048621,0.0,3.80712357,0.0,-11.9979744,0.0
16,0.625,A_Ball,-2.92614558,0.0,3.86464042,0.0,-12.80772686,0.0
17,0.66666667,A_Ball,-2.73325706,0.0,3.90475996,0.0,-13.61142921,0.0
18,0.70833333,A_Ball,-2.54180979,0.0,3.92761219,0.0,-14.40912628,0.0
19,0.75,A_Ball,-2.351793,0.0,3.93332612,0.0,-15.20086288,0.0
20,0.79166667,A_Ball,-2.16319601,0.0,3.92202982,0.0,-15.98668289,0.0
21,0.83333333,A_Ball,-1.97600821,0.0,3.89385038,0.0,-16.76663208,0.0
22,0.875,A_Ball,-1.79021906,0.0,3.84891396,0.0,-17.54075432,0.0
23,0.91666667,A_Ball,-1.60581812,0.0,3.78734575,0.0,-18.30909157,0.0
24,0.95833333,A_Ball,-1.42279501,0.0,3.70927004,0.0,-19.0716877,0.0
25,1.0,A_Ball,-1.24113944,0.0,3.61481016,0.0,-19.82858658,0.0
26,1.04166667,A_Ball,-1.06084119,0.0,3.50408854,0.0,-20.57982826,0.0
27,1.08333333,A_Ball,-0.88189012,0.0,3.37722668,0.0,-21.32545853,0.0
28,1.125,A_Ball,-0.70427616,0.0,3.23434519,0.0,-22.06551552,0.0
29,1.16666667,A_Ball,-0.52798933,0.0,3.07556376,0.0,-22.80004501,0.0
30,1.20833333,A_Ball,-0.3530197,0.0,2.90100119,0.0,-23.52908516,0.0
31,1.25,A_Ball,-0.17935743,0.0,2.7107754,0.0,-24.25267792,0.0
32,1.29166667,A_Ball,-0.00699276,0.0,2.50500342,0.0,-24.97086334,0.0
33,1.33333333,A_Ball,0.16408401,0.0,2.28380142,0.0,-25.6836834,0.0
34,1.375,A_Ball,0.33388251,0.0,2.04728469,0.0,-26.39117622,0.0
35,1.41666667,A_Ball,0.50241228,0.0,1.79556765,0.0,-27.09338379,0.0
36,1.45833333,A_Ball,0.66968281,0.0,1.52876389,0.0,-27.79034424,0.0
37,1.5,A_Ball,0.8357035,0.0,1.24698613,0.0,-28.48209763,0.0
38,1.54166667,A_Ball,1.00048369,0.0,0.95034625,0.0,-29.1686821,0.0
39,1.58333333,A_Ball,1.16403265,0.0,0.63895531,0.0,-29.8501358,0.0
40,1.625,A_Ball,1.32635959,0.0,0.54443029,0.0,-30.52649879,0.0
41,1.66666667,A_Ball,1.48747362,0.0,0.80288764,0.0,-31.19780731,0.0
