frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,A_Ball,-6.0,0.0,1.1,0.0,-0.0,0.0
2,0.04166667,A_Ball,-5.78521816,0.0,1.4137066,0.0,-0.89492434,0.0
3,0.08333333,A_Ball,-5.5741623,0.0,1.705088,0.0,-1.77432382,0.0
4,0.125,A_Ball,-5.36676778,0.0,1.97453149,0.0,-2.63846755,0.0
5,0.16666667,A_Ball,-5.1629711,0.0,2.22241765,0.0,-3.48762035,0.0
6,0.20833333,A_Ball,-4.96270984,0.0,2.44912044,0.0,-4.32204247,0.0
7,0.25,A_Ball,-4.76592266,0.0,2.65500736,0.0,-5.14198875,0.0
8,0.29166667,A_Ball,-4.5725493,0.0,2.8404395,0.0,-5.94771147,0.0
9,0.33333333,A_Ball,-4.38253053,0.0,3.00577172,0.0,-6.73945618,0.0
10,0.375,A_Ball,-4.19580817,0.0,3.1513527,0.0,-7.51746607,0.0
11,0.41666667,A_Ball,-4.01232502,0.0,3.27752509,0.0,-8.28197956,0.0
12,0.45833333,A_Ball,-3.83202489,0.0,3.38462558,0.0,-9.03322983,0.0
13,0.5,A_Ball,-3.65485257,0.0,3.47298502,0.0,-9.77144718,0.0
14,0.54166667,A_Ball,-3.48075379,0.0,3.54292853,0.0,-10.49685955,0.0
15,0.58333333,A_Ball,-3.30967524,0.0,3.59477558,0.0,-11.20968628,0.0
16,0.625,A_Ball,-3.14156451,0.0,3.62884011,0.0,-11.91014767,0.0
17,0.66666667,A_Ball,-2.97637013,0.0,3.64543061,0.0,-12.59845734,0.0
18,0.70833333,A_Ball,-2.81404151,0.0,3.6448502,0.0,-13.274827,0.0
19,0.75,A_Ball,-2.65452892,0.0,3.62739678,0.0,-13.93946266,0.0
20,0.79166667,A_Ball,-2.49778352,0.0,3.59336303,0.0,-14.5925684,0.0
21,0.83333333,A_Ball,-2.3437573,0.0,3.54303661,0.0,-15.23434448,0.0
22,0.875,A_Ball,-2.19240309,0.0,3.47670014,0.0,-15.86498737,0.0
23,0.91666667,A_Ball,-2.04367454,0.0,3.39463138,0.0,-16.48468971,0.0
24,0.95833333,A_Ball,-1.8975261,0.0,3.29710322,0.0,-17.09364128,0.0
25,1.0,A_Ball,-1.75391301,0.0,3.18438388,0.0,-17.69202995,0.0
26,1.04166667,A_Ball,-1.61279128,0.0,3.05673687,0.0,-18.28003693,0.0
27,1.08333333,A_Ball,-1.4741177,0.0,2.91442115,0.0,-18.8578434,0.0
28,1.125,A_Ball,-1.33784979,0.0,2.75769121,0.0,-19.42562675,0.0
29,1.16666667,A_Ball,-1.20394583,0.0,2.58679708,0.0,-19.98355865,0.0
30,1.20833333,A_Ball,-1.07236481,0.0,2.4019845,0.0,-20.53181267,0.0
31,1.25,A_Ball,-0.94306642,0.0,2.20349491,0.0,-21.07055664,0.0
32,1.29166667,A_Ball,-0.81601106,0.0,1.99156558,0.0,-21.59995461,0.0
33,1.33333333,A_Ball,-0.69115984,0.0,1.76642965,0.0,-22.12016678,0.0
34,1.375,A_Ball,-0.5684745,0.0,1.52831624,0.0,-22.63135719,0.0
35,1.41666667,A_Ball,-0.44791748,0.0,1.27745047,0.0,-23.13367653,0.0
36,1.45833333,A_Ball,-0.32945186,0.0,1.01405357,0.0,-23.6272831,0.0
37,1.5,A_Ball,-0.21304135,0.0,0.73834293,0.0,-24.11232758,0.0
38,1.54166667,A_Ball,-0.0986503,0.0,0.45053215,0.0,-24.58895683,0.0
39,1.58333333,A_Ball,0.01375632,0.0,0.65153936,0.0,-25.05731773,0.0
40,1.625,A_Ball,0.12421294,0.0,0.85061757,0.0,-25.51755333,0.0
41,1.66666667,A_Ball,0.23275338,0.0,1.02935913,0.0,-25.96980667,0.0
42,1.70833333,A_Ball,0.33941089,0.0,1.18811683,0.0,-26.41421127,0.0
43,1.75,A_Ball,0.44421813,0.0,1.32723734,0.0,-26.85090828,0.0
44,1.79166667,A_Ball,0.54720719,0.0,1.44706134,0.0,-27.2800293,0.0
45,1.83333333,A_Ball,0.64840963,0.0,1.54792356,0.0,-27.70170593,0.0
46,1.875,A_Ball,0.74785643,0.0,1.63015296,0.0,-28.11606789,0.0
47,1.91666667,A_Ball,0.84557805,0.0,1.69407277,0.0,-28.52324104,0.0
48,1.95833333,A_Ball,0.94160442,0.0,1.74000062,0.0,-28.92335129,0.0
49,2.0,A_Ball,1.03596495,0.0,1.76824864,0.0,-29.31652069,0.0
50,2.04166667,A_Ball,1.12868853,0.0,1.77912352,0.0,-29.70286942,0.0
51,2.08333333,A_Ball,1.21980357,0.0,1.77292665,0.0,-30.08251572,0.0
52,2.125,A_Ball,1.30933796,0.0,1.7499542,0.0,-30.45557404,0.0
53,2.16666667,A_Ball,1.39731913,0.0,1.71049717,0.0,-30.82216263,0.0
54,2.20833333,A_Ball,1.48377403,0.0,1.65484155,0.0,-31.18239212,0.0
55,2.25,A_Ball,1.56872912,0.0,1.58326833,0.0,-31.53637123,0.0
56,2.29166667,A_Ball,1.65221044,0.0,1.49605365,0.0,-31.88421059,0.0
57,2.33333333,A_Ball,1.73424354,0.0,1.39346886,0.0,-32.22601318,0.0
58,2.375,A_Ball,1.81485355,0.0,1.2757806,0.0,-32.56188965,0.0
59,2.41666667,A_Ball,1.89406515,0.0,1.14325087,0.0,-32.89193726,0.0
60,2.45833333,A_Ball,1.97190262,0.0,0.99613715,0.0,-33.216259,0.0
61,2.5,A_Ball,2.04838977,0.0,0.83469243,0.0,-33.53495789,0.0
62,2.54166667,A_Ball,2.12355005,0.0,0.65916532,0.0,-33.84812546,0.0
63,2.58333333,A_Ball,2.19740646,0.0,0.46980012,0.0,-34.1558609,0.0
64,2.625,A_Ball,2.26998163,0.0,0.56419775,0.0,-34.45825577,0.0
65,2.66666667,A_Ball,2.34129778,0.0,0.69253904,0.0,-34.75540924,0.0
66,2.70833333,A_Ball,2.41137676,0.0,0.80177081,0.0,-35.04740143,0.0
