frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,A_Ball,-6.0,0.0,1.1,0.0,-0.0,0.0
2,0.04166667,A_Ball,-5.78579712,0.0,1.40864083,0.0,-0.89251202,0.0
3,0.08333333,A_Ball,-5.57644723,0.0,1.68505844,0.0,-1.76480317,0.0
4,0.125,A_Ball,-5.37184039,0.0,1.92998289,0.0,-2.61733174,0.0
5,0.16666667,A_Ball,-5.17186913,0.0,2.14412768,0.0,-3.45054531,0.0
6,0.20833333,A_Ball,-4.97642844,0.0,2.32819016,0.0,-4.26488161,0.0
7,0.25,A_Ball,-4.78541567,0.0,2.48285188,0.0,-5.06076813,0.0
8,0.29166667,A_Ball,-4.5987305,0.0,2.60877894,0.0,-5.83862305,0.0
9,0.33333333,A_Ball,-4.41627488,0.0,2.70662237,0.0,-6.59885454,0.0
10,0.375,A_Ball,-4.23795299,0.0,2.77701842,0.0,-7.34186268,0.0
11,0.41666667,A_Ball,-4.06367118,0.0,2.82058894,0.0,-8.06803703,0.0
12,0.45833333,A_Ball,-3.8933379,0.0,2.83794169,0.0,-8.7777586,0.0
13,0.5,A_Ball,-3.72686371,0.0,2.82967068,0.0,-9.47140121,0.0
14,0.54166667,A_Ball,-3.56416117,0.0,2.79635642,0.0,-10.14932823,0.0
15,0.58333333,A_Ball,-3.40514483,0.0,2.73856631,0.0,-10.81189632,0.0
16,0.625,A_Ball,-3.24973118,0.0,2.65685486,0.0,-11.45945358,0.0
17,0.66666667,A_Ball,-3.09783859,0.0,2.55176405,0.0,-12.09233952,0.0
18,0.70833333,A_Ball,-2.94938729,0.0,2.42382355,0.0,-12.710886,0.0
19,0.75,A_Ball,-2.80429931,0.0,2.27355106,0.0,-13.3154192,0.0
20,0.79166667,A_Ball,-2.66249846,0.0,2.10145252,0.0,-13.90625668,0.0
21,0.83333333,A_Ball,-2.52391026,0.0,1.90802243,0.0,-14.48370743,0.0
22,0.875,A_Ball,-2.38846192,0.0,1.69374408,0.0,-15.04807568,0.0
23,0.91666667,A_Ball,-2.25608231,0.0,1.45908981,0.0,-15.59965706,0.0
