frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,A_Ball,-6.0,0.0,1.1,0.0,-0.0,0.0
2,0.04166667,A_Ball,-5.78459232,0.0,1.41887454,0.0,-0.89753199,0.0
3,0.08333333,A_Ball,-5.57168313,0.0,1.72559298,0.0,-1.78465366,0.0
4,0.125,A_Ball,-5.36124344,0.0,2.02029632,0.0,-2.66148567,0.0
5,0.16666667,A_Ball,-5.15324462,0.0,2.30312391,0.0,-3.52814746,0.0
6,0.20833333,A_Ball,-4.94765835,0.0,2.57421352,0.0,-4.38475704,0.0
7,0.25,A_Ball,-4.74445666,0.0,2.83370127,0.0,-5.23143053,0.0
8,0.29166667,A_Ball,-4.54361187,0.0,3.08172175,0.0,-6.06828403,0.0
9,0.33333333,A_Ball,-4.34509665,0.0,3.31840795,0.0,-6.89543056,0.0
10,0.375,A_Ball,-4.14888399,0.0,3.54389135,0.0,-7.71298361,0.0
11,0.41666667,A_Ball,-3.95494718,0.0,3.75830188,0.0,-8.52105331,0.0
12,0.45833333,A_Ball,-3.76325981,0.0,3.96176798,0.0,-9.31975079,0.0
13,0.5,A_Ball,-3.5737958,0.0,4.15441659,0.0,-10.10918427,0.0
14,0.54166667,A_Ball,-3.38652936,0.0,4.33637317,0.0,-10.88946056,0.0
15,0.58333333,A_Ball,-3.201435,0.0,4.50776176,0.0,-11.66068745,0.0
16,0.625,A_Ball,-3.01848753,0.0,4.66870491,0.0,-12.42296886,0.0
17,0.66666667,A_Ball,-2.83766204,0.0,4.81932379,0.0,-13.17640781,0.0
18,0.70833333,A_Ball,-2.65893392,0.0,4.95973815,0.0,-13.92110825,0.0
19,0.75,A_Ball,-2.48227885,0.0,5.09006635,0.0,-14.65717125,0.0
20,0.79166667,A_Ball,-2.30767278,0.0,5.21042537,0.0,-15.38469696,0.0
21,0.83333333,A_Ball,-2.13509195,0.0,5.32093085,0.0,-16.10378265,0.0
22,0.875,A_Ball,-1.96451285,0.0,5.42169708,0.0,-16.81452942,0.0
23,0.91666667,A_Ball,-1.79591229,0.0,5.51283702,0.0,-17.51703262,0.0
24,0.95833333,A_Ball,-1.62926729,0.0,5.59446233,0.0,-18.21138573,0.0
25,1.0,A_Ball,-1.4645552,0.0,5.66668336,0.0,-18.897686,0.0
26,1.04166667,A_Ball,-1.30175358,0.0,5.7296092,0.0,-19.57602692,0.0
27,1.08333333,A_Ball,-1.14084027,0.0,5.78334765,0.0,-20.24649811,0.0
