frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,B_Block,-0.15,0.0,0.5,0.0,0.0,0.0
2,0.04166667,B_Block,-0.17147407,0.0,0.5,0.0,0.0,0.0
3,0.08333333,B_Block,-0.20806521,0.0,0.5,0.0,0.0,0.0
4,0.125,B_Block,-0.25917593,0.0,0.5,0.0,0.0,0.0
5,0.16666667,B_Block,-0.32408065,0.0,0.5,0.0,0.0,0.0
6,0.20833333,B_Block,-0.40193475,0.0,0.5,0.0,0.0,0.0
7,0.25,B_Block,-0.49178452,0.0,0.5,0.0,0.0,0.0
8,0.29166667,B_Block,-0.59257807,0.0,0.5,0.0,0.0,0.0
9,0.33333333,B_Block,-0.70317691,0.0,0.5,0.0,0.0,0.0
10,0.375,B_Block,-0.82236822,0.0,0.5,0.0,0.0,0.0
11,0.41666667,B_Block,-0.94887758,0.0,0.5,0.0,0.0,0.0
12,0.45833333,B_Block,-1.08138212,0.0,0.5,0.0,0.0,0.0
13,0.5,B_Block,-1.21852387,0.0,0.5,0.0,0.0,0.0
14,0.54166667,B_Block,-1.35892325,0.0,0.5,0.0,0.0,0.0
15,0.58333333,B_Block,-1.50119254,0.0,0.5,0.0,0.0,0.0
16,0.625,B_Block,-1.64394919,0.0,0.5,0.0,0.0,0.0
17,0.66666667,B_Block,-1.78582885,0.0,0.5,0.0,0.0,0.0
18,0.70833333,B_Block,-1.92549808,0.0,0.5,0.0,0.0,0.0
19,0.75,B_Block,-2.06166647,0.0,0.5,0.0,0.0,0.0
20,0.79166667,B_Block,-2.19309821,0.0,0.5,0.0,0.0,0.0
21,0.83333333,B_Block,-2.31862288,0.0,0.5,0.0,0.0,0.0
22,0.875,B_Block,-2.43714558,0.0,0.5,0.0,0.0,0.0
23,0.91666667,B_Block,-2.54765599,0.0,0.5,0.0,0.0,0.0
24,0.95833333,B_Block,-2.64923663,0.0,0.5,0.0,0.0,0.0
25,1.0,B_Block,-2.74107,0.0,0.5,0.0,0.0,0.0
26,1.04166667,B_Block,-2.82244475,0.0,0.5,0.0,0.0,0.0
27,1.08333333,B_Block,-2.89276063,0.0,0.5,0.0,0.0,0.0
28,1.125,B_Block,-2.95153239,0.0,0.5,0.0,0.0,0.0
29,1.16666667,B_Block,-2.99839246,0.0,0.5,0.0,0.0,0.0
30,1.20833333,B_Block,-3.03309252,0.0,0.5,0.0,0.0,0.0
31,1.25,B_Block,-3.05550389,0.0,0.5,0.0,0.0,0.0
32,1.29166667,B_Block,-3.06561676,0.0,0.5,0.0,0.0,0.0
33,1.33333333,B_Block,-3.06353834,0.0,0.5,0.0,0.0,0.0
34,1.375,B_Block,-3.04948986,0.0,0.5,0.0,0.0,0.0
35,1.41666667,B_Block,-3.02380266,0.0,0.5,0.0,0.0,0.0
36,1.45833333,B_Block,-2.98691313,0.0,0.5,0.0,0.0,0.0
37,1.5,B_Block,-2.93935692,0.0,0.5,0.0,0.0,0.0
38,1.54166667,B_Block,-2.88176214,0.0,0.5,0.0,0.0,0.0
39,1.58333333,B_Block,-2.81484191,0.0,0.5,0.0,0.0,0.0
40,1.625,B_Block,-2.73938614,0.0,0.5,0.0,0.0,0.0
41,1.66666667,B_Block,-2.65625279,0.0,0.5,0.0,0.0,0.0
42,1.70833333,B_Block,-2.56635857,0.0,0.5,0.0,0.0,0.0
43,1.75,B_Block,-2.4706693,0.0,0.5,0.0,0.0,0.0
44,1.79166667,B_Block,-2.37018985,0.0,0.5,0.0,0.0,0.0
45,1.83333333,B_Block,-2.26595402,0.0,0.5,0.0,0.0,0.0
46,1.875,B_Block,-2.1590142,0.0,0.5,0.0,0.0,0.0
47,1.91666667,B_Block,-2.05043108,0.0,0.5,0.0,0.0,0.0
48,1.95833333,B_Block,-1.94126343,0.0,0.5,0.0,0.0,0.0
49,2.0,B_Block,-1.83255808,0.0,0.5,0.0,0.0,0.0
50,2.04166667,B_Block,-1.72534014,0.0,0.5,0.0,0.0,0.0
51,2.08333333,B_Block,-1.62060368,0.0,0.5,0.0,0.0,0.0
52,2.125,B_Block,-1.51930273,0.0,0.5,0.0,0.0,0.0
53,2.16666667,B_Block,-1.42234294,0.0,0.5,0.0,0.0,0.0
54,2.20833333,B_Block,-1.33057374,0.0,0.5,0.0,0.0,0.0
55,2.25,B_Block,-1.24478118,0.0,0.5,0.0,0.0,0.0
56,2.29166667,B_Block,-1.16568158,0.0,0.5,0.0,0.0,0.0
57,2.33333333,B_Block,-1.0939158,0.0,0.5,0.0,0.0,0.0
58,2.375,B_Block,-1.03004445,0.0,0.5,0.0,0.0,0.0
59,2.41666667,B_Block,-0.97454385,0.0,0.5,0.0,0.0,0.0
60,2.45833333,B_Block,-0.92780295,0.0,0.5,0.0,0.0,0.0
61,2.5,B_Block,-0.89012102,0.0,0.5,0.0,0.0,0.0
62,2.54166667,B_Block,-0.86170634,0.0,0.5,0.0,0.0,0.0
63,2.58333333,B_Block,-0.84267568,0.0,0.5,0.0,0.0,0.0
64,2.625,B_Block,-0.83305476,0.0,0.5,0.0,0.0,0.0
65,2.66666667,B_Block,-0.83277944,0.0,0.5,0.0,0.0,0.0
66,2.70833333,B_Block,-0.84169786,0.0,0.5,0.0,0.0,0.0
67,2.75,B_Block,-0.85957335,0.0,0.5,0.0,0.0,0.0
68,2.79166667,B_Block,-0.88608802,0.0,0.5,0.0,0.0,0.0
69,2.83333333,B_Block,-0.92084717,0.0,0.5,0.0,0.0,0.0
70,2.875,B_Block,-0.96338431,0.0,0.5,0.0,0.0,0.0
71,2.91666667,B_Block,-1.01316674,0.0,0.5,0.0,0.0,0.0
72,2.95833333,B_Block,-1.06960175,0.0,0.5,0.0,0.0,0.0
73,3.0,B_Block,-1.13204321,0.0,0.5,0.0,0.0,0.0
74,3.04166667,B_Block,-1.19979861,0.0,0.5,0.0,0.0,0.0
75,3.08333333,B_Block,-1.27213639,0.0,0.5,0.0,0.0,0.0
76,3.125,B_Block,-1.34829358,0.0,0.5,0.0,0.0,0.0
77,3.16666667,B_Block,-1.42748348,0.0,0.5,0.0,0.0,0.0
78,3.20833333,B_Block,-1.50890364,0.0,0.5,0.0,0.0,0.0
79,3.25,B_Block,-1.59174363,0.0,0.5,0.0,0.0,0.0
80,3.29166667,B_Block,-1.67519296,0.0,0.5,0.0,0.0,0.0
81,3.33333333,B_Block,-1.75844875,0.0,0.5,0.0,0.0,0.0
82,3.375,B_Block,-1.8407232,0.0,0.5,0.0,0.0,0.0
83,3.41666667,B_Block,-1.92125087,0.0,0.5,0.0,0.0,0.0
84,3.45833333,B_Block,-1.99929558,0.0,0.5,0.0,0.0,0.0
85,3.5,B_Block,-2.0741569,0.0,0.5,0.0,0.0,0.0
86,3.54166667,B_Block,-2.1451762,0.0,0.5,0.0,0.0,0.0
87,3.58333333,B_Block,-2.21174227,0.0,0.5,0.0,0.0,0.0
88,3.625,B_Block,-2.27329629,0.0,0.5,0.0,0.0,0.0
89,3.66666667,B_Block,-2.3293363,0.0,0.5,0.0,0.0,0.0
90,3.70833333,B_Block,-2.37942102,0.0,0.5,0.0,0.0,0.0
91,3.75,B_Block,-2.42317306,0.0,0.5,0.0,0.0,0.0
92,3.79166667,B_Block,-2.46028141,0.0,0.5,0.0,0.0,0.0
93,3.83333333,B_Block,-2.49050332,0.0,0.5,0.0,0.0,0.0
94,3.875,B_Block,-2.5136655,0.0,0.5,0.0,0.0,0.0
95,3.91666667,B_Block,-2.52966457,0.0,0.5,0.0,0.0,0.0
96,3.95833333,B_Block,-2.53846693,0.0,0.5,0.0,0.0,0.0
97,4.0,B_Block,-2.54010791,0.0,0.5,0.0,0.0,0.0
98,4.04166667,B_Block,-2.53469027,0.0,0.5,0.0,0.0,0.0
99,4.08333333,B_Block,-2.52238217,0.0,0.5,0.0,0.0,0.0
100,4.125,B_Block,-2.50341442,0.0,0.5,0.0,0.0,0.0
101,4.16666667,B_Block,-2.4780773,0.0,0.5,0.0,0.0,0.0
102,4.20833333,B_Block,-2.44671681,0.0,0.5,0.0,0.0,0.0
103,4.25,B_Block,-2.40973045,0.0,0.5,0.0,0.0,0.0
104,4.29166667,B_Block,-2.3675626,0.0,0.5,0.0,0.0,0.0
105,4.33333333,B_Block,-2.32069953,0.0,0.5,0.0,0.0,0.0
106,4.375,B_Block,-2.26966406,0.0,0.5,0.0,0.0,0.0
107,4.41666667,B_Block,-2.21501004,0.0,0.5,0.0,0.0,0.0
108,4.45833333,B_Block,-2.15731651,0.0,0.5,0.0,0.0,0.0
109,4.5,B_Block,-2.09718184,0.0,0.5,0.0,0.0,0.0
110,4.54166667,B_Block,-2.0352177,0.0,0.5,0.0,0.0,0.0
111,4.58333333,B_Block,-1.97204302,0.0,0.5,0.0,0.0,0.0
112,4.625,B_Block,-1.90827801,0.0,0.5,0.0,0.0,0.0
113,4.66666667,B_Block,-1.84453823,0.0,0.5,0.0,0.0,0.0
114,4.70833333,B_Block,-1.78142884,0.0,0.5,0.0,0.0,0.0
115,4.75,B_Block,-1.71953899,0.0,0.5,0.0,0.0,0.0
116,4.79166667,B_Block,-1.65943652,0.0,0.5,0.0,0.0,0.0
117,4.83333333,B_Block,-1.6016629,0.0,0.5,0.0,0.0,0.0
118,4.875,B_Block,-1.54672852,0.0,0.5,0.0,0.0,0.0
119,4.91666667,B_Block,-1.49510836,0.0,0.5,0.0,0.0,0.0
120,4.95833333,B_Block,-1.44723807,0.0,0.5,0.0,0.0,0.0
