frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,B_Block,-0.15,0.0,0.5,0.0,0.0,0.0
2,0.04166667,B_Block,-0.1874908,0.0,0.5,0.0,0.0,0.0
3,0.08333333,B_Block,-0.24949461,0.0,0.5,0.0,0.0,0.0
4,0.125,B_Block,-0.3343018,0.0,0.5,0.0,0.0,0.0
5,0.16666667,B_Block,-0.43989092,0.0,0.5,0.0,0.0,0.0
6,0.20833333,B_Block,-0.56397009,0.0,0.5,0.0,0.0,0.0
7,0.25,B_Block,-0.70402134,0.0,0.5,0.0,0.0,0.0
8,0.29166667,B_Block,-0.85734738,0.0,0.5,0.0,0.0,0.0
9,0.33333333,B_Block,-1.02111969,0.0,0.5,0.0,0.0,0.0
10,0.375,B_Block,-1.19242736,0.0,0.5,0.0,0.0,0.0
11,0.41666667,B_Block,-1.3683258,0.0,0.5,0.0,0.0,0.0
12,0.45833333,B_Block,-1.5458845,0.0,0.5,0.0,0.0,0.0
13,0.5,B_Block,-1.72223316,0.0,0.5,0.0,0.0,0.0
14,0.54166667,B_Block,-1.89460557,0.0,0.5,0.0,0.0,0.0
15,0.58333333,B_Block,-2.06038042,0.0,0.5,0.0,0.0,0.0
16,0.625,B_Block,-2.21711872,0.0,0.5,0.0,0.0,0.0
17,0.66666667,B_Block,-2.36259713,0.0,0.5,0.0,0.0,0.0
18,0.70833333,B_Block,-2.49483695,0.0,0.5,0.0,0.0,0.0
19,0.75,B_Block,-2.61212827,0.0,0.5,0.0,0.0,0.0
20,0.79166667,B_Block,-2.71304927,0.0,0.5,0.0,0.0,0.0
21,0.83333333,B_Block,-2.79648023,0.0,0.5,0.0,0.0,0.0
22,0.875,B_Block,-2.86161243,0.0,0.5,0.0,0.0,0.0
23,0.91666667,B_Block,-2.90795181,0.0,0.5,0.0,0.0,0.0
24,0.95833333,B_Block,-2.93531749,0.0,0.5,0.0,0.0,0.0
25,1.0,B_Block,-2.94383542,0.0,0.5,0.0,0.0,0.0
26,1.04166667,B_Block,-2.93392729,0.0,0.5,0.0,0.0,0.0
