frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,B_Block,-0.15,0.0,0.5,0.0,0.0,0.0
2,0.04166667,B_Block,-0.17144855,0.0,0.5,0.0,0.0,0.0
3,0.08333333,B_Block,-0.2188188,0.0,0.5,0.0,0.0,0.0
4,0.125,B_Block,-0.29109262,0.0,0.5,0.0,0.0,0.0
5,0.16666667,B_Block,-0.38686237,0.0,0.5,0.0,0.0,0.0
6,0.20833333,B_Block,-0.50435733,0.0,0.5,0.0,0.0,0.0
7,0.25,B_Block,-0.64147577,0.0,0.5,0.0,0.0,0.0
8,0.29166667,B_Block,-0.79582194,0.0,0.5,0.0,0.0,0.0
9,0.33333333,B_Block,-0.96474746,0.0,0.5,0.0,0.0,0.0
10,0.375,B_Block,-1.14539635,0.0,0.5,0.0,0.0,0.0
11,0.41666667,B_Block,-1.33475288,0.0,0.5,0.0,0.0,0.0
12,0.45833333,B_Block,-1.5296916,0.0,0.5,0.0,0.0,0.0
13,0.5,B_Block,-1.72702857,0.0,0.5,0.0,0.0,0.0
14,0.54166667,B_Block,-1.92357306,0.0,0.5,0.0,0.0,0.0
15,0.58333333,B_Block,-2.1161788,0.0,0.5,0.0,0.0,0.0
16,0.625,B_Block,-2.30179401,0.0,0.5,0.0,0.0,0.0
17,0.66666667,B_Block,-2.47750949,0.0,0.5,0.0,0.0,0.0
18,0.70833333,B_Block,-2.64060385,0.0,0.5,0.0,0.0,0.0
19,0.75,B_Block,-2.78858532,0.0,0.5,0.0,0.0,0.0
20,0.79166667,B_Block,-2.91922945,0.0,0.5,0.0,0.0,0.0
21,0.83333333,B_Block,-3.03061218,0.0,0.5,0.0,0.0,0.0
22,0.875,B_Block,-3.12113767,0.0,0.5,0.0,0.0,0.0
23,0.91666667,B_Block,-3.18956071,0.0,0.5,0.0,0.0,0.0
24,0.95833333,B_Block,-3.23500314,0.0,0.5,0.0,0.0,0.0
25,1.0,B_Block,-3.25696438,0.0,0.5,0.0,0.0,0.0
26,1.04166667,B_Block,-3.25532563,0.0,0.5,0.0,0.0,0.0
27,1.08333333,B_Block,-3.230348,0.0,0.5,0.0,0.0,0.0
28,1.125,B_Block,-3.18266458,0.0,0.5,0.0,0.0,0.0
29,1.16666667,B_Block,-3.1132665,0.0,0.5,0.0,0.0,0.0
30,1.20833333,B_Block,-3.02348355,0.0,0.5,0.0,0.0,0.0
31,1.25,B_Block,-2.9149594,0.0,0.5,0.0,0.0,0.0
32,1.29166667,B_Block,-2.78962213,0.0,0.5,0.0,0.0,0.0
33,1.33333333,B_Block,-2.64965046,0.0,0.5,0.0,0.0,0.0
34,1.375,B_Block,-2.49743627,0.0,0.5,0.0,0.0,0.0
35,1.41666667,B_Block,-2.33554412,0.0,0.5,0.0,0.0,0.0
36,1.45833333,B_Block,-2.16666838,0.0,0.5,0.0,0.0,0.0
37,1.5,B_Block,-1.99358866,0.0,0.5,0.0,0.0,0.0
38,1.54166667,B_Block,-1.81912439,0.0,0.5,0.0,0.0,0.0
39,1.58333333,B_Block,-1.64608915,0.0,0.5,0.0,0.0,0.0
