frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,B_Block,-0.15,0.0,0.5,0.0,0.0,0.0
2,0.04166667,B_Block,-0.15985158,0.0,0.5,0.0,0.0,0.0
3,0.08333333,B_Block,-0.17832524,0.0,0.5,0.0,0.0,0.0
4,0.125,B_Block,-0.20526587,0.0,0.5,0.0,0.0,0.0
5,0.16666667,B_Block,-0.24047449,0.0,0.5,0.0,0.0,0.0
6,0.20833333,B_Block,-0.28370967,0.0,0.5,0.0,0.0,0.0
7,0.25,B_Block,-0.33468908,0.0,0.5,0.0,0.0,0.0
8,0.29166667,B_Block,-0.39309123,0.0,0.5,0.0,0.0,0.0
9,0.33333333,B_Block,-0.45855746,0.0,0.5,0.0,0.0,0.0
10,0.375,B_Block,-0.53069406,0.0,0.5,0.0,0.0,0.0
11,0.41666667,B_Block,-0.60907462,0.0,0.5,0.0,0.0,0.0
12,0.45833333,B_Block,-0.69324248,0.0,0.5,0.0,0.0,0.0
13,0.5,B_Block,-0.78271338,0.0,0.5,0.0,0.0,0.0
14,0.54166667,B_Block,-0.87697816,0.0,0.5,0.0,0.0,0.0
15,0.58333333,B_Block,-0.97550567,0.0,0.5,0.0,0.0,0.0
16,0.625,B_Block,-1.07774571,0.0,0.5,0.0,0.0,0.0
17,0.66666667,B_Block,-1.18313205,0.0,0.5,0.0,0.0,0.0
18,0.70833333,B_Block,-1.29108559,0.0,0.5,0.0,0.0,0.0
19,0.75,B_Block,-1.40101745,0.0,0.5,0.0,0.0,0.0
20,0.79166667,B_Block,-1.51233221,0.0,0.5,0.0,0.0,0.0
21,0.83333333,B_Block,-1.62443105,0.0,0.5,0.0,0.0,0.0
22,0.875,B_Block,-1.73671502,0.0,0.5,0.0,0.0,0.0
23,0.91666667,B_Block,-1.84858812,0.0,0.5,0.0,0.0,0.0
24,0.95833333,B_Block,-1.95946051,0.0,0.5,0.0,0.0,0.0
25,1.0,B_Block,-2.06875159,0.0,0.5,0.0,0.0,0.0
26,1.04166667,B_Block,-2.17589296,0.0,0.5,0.0,0.0,0.0
27,1.08333333,B_Block,-2.28033139,0.0,0.5,0.0,0.0,0.0
28,1.125,B_Block,-2.38153166,0.0,0.5,0.0,0.0,0.0
29,1.16666667,B_Block,-2.47897924,0.0,0.5,0.0,0.0,0.0
30,1.20833333,B_Block,-2.57218291,0.0,0.5,0.0,0.0,0.0
31,1.25,B_Block,-2.66067718,0.0,0.5,0.0,0.0,0.0
32,1.29166667,B_Block,-2.74402461,0.0,0.5,0.0,0.0,0.0
33,1.33333333,B_Block,-2.82181791,0.0,0.5,0.0,0.0,0.0
34,1.375,B_Block,-2.89368195,0.0,0.5,0.0,0.0,0.0
35,1.41666667,B_Block,-2.95927546,0.0,0.5,0.0,0.0,0.0
36,1.45833333,B_Block,-3.01829268,0.0,0.5,0.0,0.0,0.0
37,1.5,B_Block,-3.07046469,0.0,0.5,0.0,0.0,0.0
38,1.54166667,B_Block,-3.11556064,0.0,0.5,0.0,0.0,0.0
39,1.58333333,B_Block,-3.15338867,0.0,0.5,0.0,0.0,0.0
40,1.625,B_Block,-3.18379671,0.0,0.5,0.0,0.0,0.0
41,1.66666667,B_Block,-3.206673,0.0,0.5,0.0,0.0,0.0
42,1.70833333,B_Block,-3.22194641,0.0,0.5,0.0,0.0,0.0
43,1.75,B_Block,-3.22958656,0.0,0.5,0.0,0.0,0.0
44,1.79166667,B_Block,-3.22960369,0.0,0.5,0.0,0.0,0.0
45,1.83333333,B_Block,-3.22204837,0.0,0.5,0.0,0.0,0.0
46,1.875,B_Block,-3.20701094,0.0,0.5,0.0,0.0,0.0
47,1.91666667,B_Block,-3.18462075,0.0,0.5,0.0,0.0,0.0
48,1.95833333,B_Block,-3.15504526,0.0,0.5,0.0,0.0,0.0
49,2.0,B_Block,-3.11848887,0.0,0.5,0.0,0.0,0.0
50,2.04166667,B_Block,-3.07519159,0.0,0.5,0.0,0.0,0.0
51,2.08333333,B_Block,-3.02542756,0.0,0.5,0.0,0.0,0.0
52,2.125,B_Block,-2.96950332,0.0,0.5,0.0,0.0,0.0
53,2.16666667,B_Block,-2.90775604,0.0,0.5,0.0,0.0,0.0
54,2.20833333,B_Block,-2.84055146,0.0,0.5,0.0,0.0,0.0
55,2.25,B_Block,-2.76828183,0.0,0.5,0.0,0.0,0.0
56,2.29166667,B_Block,-2.69136358,0.0,0.5,0.0,0.0,0.0
57,2.33333333,B_Block,-2.61023503,0.0,0.5,0.0,0.0,0.0
58,2.375,B_Block,-2.52535389,0.0,0.5,0.0,0.0,0.0
59,2.41666667,B_Block,-2.43719467,0.0,0.5,0.0,0.0,0.0
60,2.45833333,B_Block,-2.34624612,0.0,0.5,0.0,0.0,0.0
61,2.5,B_Block,-2.25300853,0.0,0.5,0.0,0.0,0.0
62,2.54166667,B_Block,-2.15799095,0.0,0.5,0.0,0.0,0.0
63,2.58333333,B_Block,-2.0617085,0.0,0.5,0.0,0.0,0.0
64,2.625,B_Block,-1.96467958,0.0,0.5,0.0,0.0,0.0
65,2.66666667,B_Block,-1.86742309,0.0,0.5,0.0,0.0,0.0
66,2.70833333,B_Block,-1.7704557,0.0,0.5,0.0,0.0,0.0
67,2.75,B_Block,-1.67428909,0.0,0.5,0.0,0.0,0.0
68,2.79166667,B_Block,-1.57942734,0.0,0.5,0.0,0.0,0.0
69,2.83333333,B_Block,-1.48636422,0.0,0.5,0.0,0.0,0.0
70,2.875,B_Block,-1.39558072,0.0,0.5,0.0,0.0,0.0
71,2.91666667,B_Block,-1.30754257,0.0,0.5,0.0,0.0,0.0
72,2.95833333,B_Block,-1.22269784,0.0,0.5,0.0,0.0,0.0
73,3.0,B_Block,-1.14147472,0.0,0.5,0.0,0.0,0.0
74,3.04166667,B_Block,-1.06427937,0.0,0.5,0.0,0.0,0.0
75,3.08333333,B_Block,-0.99149392,0.0,0.5,0.0,0.0,0.0
76,3.125,B_Block,-0.92347459,0.0,0.5,0.0,0.0,0.0
77,3.16666667,B_Block,-0.86055,0.0,0.5,0.0,0.0,0.0
78,3.20833333,B_Block,-0.8030196,0.0,0.5,0.0,0.0,0.0
79,3.25,B_Block,-0.75115228,0.0,0.5,0.0,0.0,0.0
80,3.29166667,B_Block,-0.70518514,0.0,0.5,0.0,0.0,0.0
81,3.33333333,B_Block,-0.66532245,0.0,0.5,0.0,0.0,0.0
82,3.375,B_Block,-0.6317348,0.0,0.5,0.0,0.0,0.0
83,3.41666667,B_Block,-0.6045584,0.0,0.5,0.0,0.0,0.0
84,3.45833333,B_Block,-0.58389459,0.0,0.5,0.0,0.0,0.0
85,3.5,B_Block,-0.56980957,0.0,0.5,0.0,0.0,0.0
86,3.54166667,B_Block,-0.56233422,0.0,0.5,0.0,0.0,0.0
87,3.58333333,B_Block,-0.56146422,0.0,0.5,0.0,0.0,0.0
88,3.625,B_Block,-0.56716029,0.0,0.5,0.0,0.0,0.0
89,3.66666667,B_Block,-0.57934863,0.0,0.5,0.0,0.0,0.0
90,3.70833333,B_Block,-0.59792154,0.0,0.5,0.0,0.0,0.0
