frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Block,-6.08208483,0.0,3.12552623,0.0,0.34906584,0.0
2,0.04166667,C_Block,-6.08055108,0.0,3.12496799,0.0,0.34906584,0.0
3,0.08333333,C_Block,-6.07594983,0.0,3.12329327,0.0,0.34906584,0.0
4,0.125,C_Block,-6.06828107,0.0,3.12050207,0.0,0.34906584,0.0
5,0.16666667,C_Block,-6.05754481,0.0,3.11659439,0.0,0.34906584,0.0
6,0.20833333,C_Block,-6.04374105,0.0,3.11157023,0.0,0.34906584,0.0
7,0.25,C_Block,-6.02686979,0.0,3.10542959,0.0,0.34906584,0.0
8,0.29166667,C_Block,-6.00693102,0.0,3.09817248,0.0,0.34906584,0.0
9,0.33333333,C_Block,-5.98392475,0.0,3.08979888,0.0,0.34906584,0.0
10,0.375,C_Block,-5.95785098,0.0,3.0803088,0.0,0.34906584,0.0
11,0.41666667,C_Block,-5.9287097,0.0,3.06970225,0.0,0.34906584,0.0
12,0.45833333,C_Block,-5.89650092,0.0,3.05797921,0.0,0.34906584,0.0
13,0.5,C_Block,-5.86122464,0.0,3.04513969,0.0,0.34906584,0.0
14,0.54166667,C_Block,-5.82288086,0.0,3.0311837,0.0,0.34906584,0.0
15,0.58333333,C_Block,-5.78146957,0.0,3.01611122,0.0,0.34906584,0.0
16,0.625,C_Block,-5.73699078,0.0,2.99992227,0.0,0.34906584,0.0
17,0.66666667,C_Block,-5.68944449,0.0,2.98261683,0.0,0.34906584,0.0
18,0.70833333,C_Block,-5.6388307,0.0,2.96419492,0.0,0.34906584,0.0
19,0.75,C_Block,-5.5851494,0.0,2.94465652,0.0,0.34906584,0.0
20,0.79166667,C_Block,-5.5284006,0.0,2.92400165,0.0,0.34906584,0.0
21,0.83333333,C_Block,-5.4685843,0.0,2.90223029,0.0,0.34906584,0.0
22,0.875,C_Block,-5.40570049,0.0,2.87934246,0.0,0.34906584,0.0
23,0.91666667,C_Block,-5.33974918,0.0,2.85533815,0.0,0.34906584,0.0
24,0.95833333,C_Block,-5.27073037,0.0,2.83021736,0.0,0.34906584,0.0
25,1.0,C_Block,-5.19864406,0.0,2.80398008,0.0,0.34906584,0.0
26,1.04166667,C_Block,-5.12349025,0.0,2.77662633,0.0,0.34906584,0.0
27,1.08333333,C_Block,-5.04526893,0.0,2.7481561,0.0,0.34906584,0.0
28,1.125,C_Block,-4.96398011,0.0,2.71856939,0.0,0.34906584,0.0
