frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Block,-6.08208483,0.0,3.12552623,0.0,0.34906584,0.0
2,0.04166667,C_Block,-6.08145342,0.0,3.12529641,0.0,0.34906584,0.0
3,0.08333333,C_Block,-6.07955918,0.0,3.12460697,0.0,0.34906584,0.0
4,0.125,C_Block,-6.07640212,0.0,3.12345789,0.0,0.34906584,0.0
5,0.16666667,C_Block,-6.07198223,0.0,3.12184918,0.0,0.34906584,0.0
6,0.20833333,C_Block,-6.06629951,0.0,3.11978084,0.0,0.34906584,0.0
7,0.25,C_Block,-6.05935397,0.0,3.11725287,0.0,0.34906584,0.0
8,0.29166667,C_Block,-6.0511456,0.0,3.11426527,0.0,0.34906584,0.0
9,0.33333333,C_Block,-6.0416744,0.0,3.11081803,0.0,0.34906584,0.0
10,0.375,C_Block,-6.03094038,0.0,3.10691117,0.0,0.34906584,0.0
11,0.41666667,C_Block,-6.01894353,0.0,3.10254467,0.0,0.34906584,0.0
12,0.45833333,C_Block,-6.00568386,0.0,3.09771855,0.0,0.34906584,0.0
13,0.5,C_Block,-5.99116136,0.0,3.09243279,0.0,0.34906584,0.0
14,0.54166667,C_Block,-5.97537604,0.0,3.0866874,0.0,0.34906584,0.0
15,0.58333333,C_Block,-5.95832788,0.0,3.08048238,0.0,0.34906584,0.0
16,0.625,C_Block,-5.94001691,0.0,3.07381773,0.0,0.34906584,0.0
17,0.66666667,C_Block,-5.9204431,0.0,3.06669345,0.0,0.34906584,0.0
18,0.70833333,C_Block,-5.89960647,0.0,3.05910954,0.0,0.34906584,0.0
19,0.75,C_Block,-5.87750702,0.0,3.05106599,0.0,0.34906584,0.0
20,0.79166667,C_Block,-5.85414474,0.0,3.04256282,0.0,0.34906584,0.0
21,0.83333333,C_Block,-5.82951963,0.0,3.03360001,0.0,0.34906584,0.0
22,0.875,C_Block,-5.8036317,0.0,3.02417758,0.0,0.34906584,0.0
23,0.91666667,C_Block,-5.77648094,0.0,3.01429551,0.0,0.34906584,0.0
24,0.95833333,C_Block,-5.74806735,0.0,3.00395381,0.0,0.34906584,0.0
25,1.0,C_Block,-5.71839094,0.0,2.99315248,0.0,0.34906584,0.0
26,1.04166667,C_Block,-5.6874517,0.0,2.98189152,0.0,0.34906584,0.0
27,1.08333333,C_Block,-5.65524964,0.0,2.97017092,0.0,0.34906584,0.0
28,1.125,C_Block,-5.62178475,0.0,2.9579907,0.0,0.34906584,0.0
29,1.16666667,C_Block,-5.58705703,0.0,2.94535084,0.0,0.34906584,0.0
30,1.20833333,C_Block,-5.55106649,0.0,2.93225136,0.0,0.34906584,0.0
31,1.25,C_Block,-5.51381313,0.0,2.91869224,0.0,0.34906584,0.0
32,1.29166667,C_Block,-5.47529693,0.0,2.90467349,0.0,0.34906584,0.0
33,1.33333333,C_Block,-5.43551791,0.0,2.89019511,0.0,0.34906584,0.0
34,1.375,C_Block,-5.39447607,0.0,2.8752571,0.0,0.34906584,0.0
35,1.41666667,C_Block,-5.3521714,0.0,2.85985946,0.0,0.34906584,0.0
36,1.45833333,C_Block,-5.3086039,0.0,2.84400219,0.0,0.34906584,0.0
37,1.5,C_Block,-5.26377357,0.0,2.82768529,0.0,0.34906584,0.0
38,1.54166667,C_Block,-5.21768042,0.0,2.81090875,0.0,0.34906584,0.0
39,1.58333333,C_Block,-5.17032445,0.0,2.79367259,0.0,0.34906584,0.0
40,1.625,C_Block,-5.12170565,0.0,2.77597679,0.0,0.34906584,0.0
41,1.66666667,C_Block,-5.07182402,0.0,2.75782136,0.0,0.34906584,0.0
42,1.70833333,C_Block,-5.02067956,0.0,2.7392063,0.0,0.34906584,0.0
43,1.75,C_Block,-4.96827229,0.0,2.72013161,0.0,0.34906584,0.0
44,1.79166667,C_Block,-4.91460218,0.0,2.70059729,0.0,0.34906584,0.0
45,1.83333333,C_Block,-4.85966925,0.0,2.68060334,0.0,0.34906584,0.0
46,1.875,C_Block,-4.80347349,0.0,2.66014976,0.0,0.34906584,0.0
47,1.91666667,C_Block,-4.74601491,0.0,2.63923654,0.0,0.34906584,0.0
48,1.95833333,C_Block,-4.6872935,0.0,2.6178637,0.0,0.34906584,0.0
49,2.0,C_Block,-4.62730926,0.0,2.59603122,0.0,0.34906584,0.0
50,2.04166667,C_Block,-4.5660622,0.0,2.57373911,0.0,0.34906584,0.0
51,2.08333333,C_Block,-4.50355231,0.0,2.55098738,0.0,0.34906584,0.0
52,2.125,C_Block,-4.4397796,0.0,2.52777601,0.0,0.34906584,0.0
53,2.16666667,C_Block,-4.37474406,0.0,2.50410501,0.0,0.34906584,0.0
54,2.20833333,C_Block,-4.30844569,0.0,2.47997437,0.0,0.34906584,0.0
55,2.25,C_Block,-4.2408845,0.0,2.45538411,0.0,0.34906584,0.0
56,2.29166667,C_Block,-4.17206048,0.0,2.43033422,0.0,0.34906584,0.0
57,2.33333333,C_Block,-4.10197364,0.0,2.40482469,0.0,0.34906584,0.0
58,2.375,C_Block,-4.03062397,0.0,2.37885554,0.0,0.34906584,0.0
59,2.41666667,C_Block,-3.95801147,0.0,2.35242675,0.0,0.34906584,0.0
60,2.45833333,C_Block,-3.88413615,0.0,2.32553833,0.0,0.34906584,0.0
61,2.5,C_Block,-3.808998,0.0,2.29819028,0.0,0.34906584,0.0
62,2.54166667,C_Block,-3.73259702,0.0,2.2703826,0.0,0.34906584,0.0
63,2.58333333,C_Block,-3.65493322,0.0,2.24211529,0.0,0.34906584,0.0
64,2.625,C_Block,-3.5760066,0.0,2.21338835,0.0,0.34906584,0.0
65,2.66666667,C_Block,-3.49581715,0.0,2.18420177,0.0,0.34906584,0.0
66,2.70833333,C_Block,-3.41436487,0.0,2.15455557,0.0,0.34906584,0.0
67,2.75,C_Block,-3.33164976,0.0,2.12444973,0.0,0.34906584,0.0
68,2.79166667,C_Block,-3.24767183,0.0,2.09388426,0.0,0.34906584,0.0
69,2.83333333,C_Block,-3.16243108,0.0,2.06285917,0.0,0.34906584,0.0
70,2.875,C_Block,-3.07592749,0.0,2.03137444,0.0,0.34906584,0.0
71,2.91666667,C_Block,-2.98816109,0.0,1.99943008,0.0,0.34906584,0.0
72,2.95833333,C_Block,-2.89913185,0.0,1.96702609,0.0,0.34906584,0.0
73,3.0,C_Block,-2.80883979,0.0,1.93416246,0.0,0.34906584,0.0
74,3.04166667,C_Block,-2.7172849,0.0,1.90083921,0.0,0.34906584,0.0
75,3.08333333,C_Block,-2.62446719,0.0,1.86705633,0.0,0.34906584,0.0
76,3.125,C_Block,-2.53038665,0.0,1.83281381,0.0,0.34906584,0.0
77,3.16666667,C_Block,-2.43504329,0.0,1.79811166,0.0,0.34906584,0.0
78,3.20833333,C_Block,-2.3384371,0.0,1.76294989,0.0,0.34906584,0.0
79,3.25,C_Block,-2.24056808,0.0,1.72732848,0.0,0.34906584,0.0
80,3.29166667,C_Block,-2.14143624,0.0,1.69124744,0.0,0.34906584,0.0
81,3.33333333,C_Block,-2.04104157,0.0,1.65470677,0.0,0.34906584,0.0
82,3.375,C_Block,-1.93938408,0.0,1.61770646,0.0,0.34906584,0.0
83,3.41666667,C_Block,-1.83646376,0.0,1.58024653,0.0,0.34906584,0.0
84,3.45833333,C_Block,-1.73228061,0.0,1.54232697,0.0,0.34906584,0.0
85,3.5,C_Block,-1.62683464,0.0,1.50394777,0.0,0.34906584,0.0
86,3.54166667,C_Block,-1.52012584,0.0,1.46510894,0.0,0.34906584,0.0
87,3.58333333,C_Block,-1.41215421,0.0,1.42581049,0.0,0.34906584,0.0
88,3.625,C_Block,-1.30291976,0.0,1.3860524,0.0,0.34906584,0.0
89,3.66666667,C_Block,-1.19242249,0.0,1.34583468,0.0,0.34906584,0.0
90,3.70833333,C_Block,-1.08066238,0.0,1.30515733,0.0,0.34906584,0.0
91,3.75,C_Block,-0.96763945,0.0,1.26402035,0.0,0.34906584,0.0
92,3.79166667,C_Block,-0.8533537,0.0,1.22242373,0.0,0.34906584,0.0
93,3.83333333,C_Block,-0.73780512,0.0,1.18036749,0.0,0.34906584,0.0
94,3.875,C_Block,-0.62099371,0.0,1.13785161,0.0,0.34906584,0.0
95,3.91666667,C_Block,-0.50291948,0.0,1.09487611,0.0,0.34906584,0.0
