frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Block,-6.08208483,0.0,3.12552623,0.0,0.34906584,0.0
2,0.04166667,C_Block,-6.08131874,0.0,3.12524739,0.0,0.34906584,0.0
3,0.08333333,C_Block,-6.07902046,0.0,3.12441089,0.0,0.34906584,0.0
4,0.125,C_Block,-6.07518999,0.0,3.12301671,0.0,0.34906584,0.0
5,0.16666667,C_Block,-6.06982733,0.0,3.12106486,0.0,0.34906584,0.0
6,0.20833333,C_Block,-6.06293249,0.0,3.11855534,0.0,0.34906584,0.0
7,0.25,C_Block,-6.05450545,0.0,3.11548815,0.0,0.34906584,0.0
8,0.29166667,C_Block,-6.04454623,0.0,3.11186329,0.0,0.34906584,0.0
9,0.33333333,C_Block,-6.03305482,0.0,3.10768076,0.0,0.34906584,0.0
10,0.375,C_Block,-6.02003123,0.0,3.10294056,0.0,0.34906584,0.0
11,0.41666667,C_Block,-6.00547544,0.0,3.09764269,0.0,0.34906584,0.0
12,0.45833333,C_Block,-5.98938747,0.0,3.09178715,0.0,0.34906584,0.0
13,0.5,C_Block,-5.97176731,0.0,3.08537393,0.0,0.34906584,0.0
14,0.54166667,C_Block,-5.95261496,0.0,3.07840305,0.0,0.34906584,0.0
15,0.58333333,C_Block,-5.93193042,0.0,3.07087449,0.0,0.34906584,0.0
16,0.625,C_Block,-5.9097137,0.0,3.06278827,0.0,0.34906584,0.0
17,0.66666667,C_Block,-5.88596479,0.0,3.05414437,0.0,0.34906584,0.0
18,0.70833333,C_Block,-5.86068368,0.0,3.0449428,0.0,0.34906584,0.0
19,0.75,C_Block,-5.8338704,0.0,3.03518356,0.0,0.34906584,0.0
20,0.79166667,C_Block,-5.80552492,0.0,3.02486665,0.0,0.34906584,0.0
21,0.83333333,C_Block,-5.77564726,0.0,3.01399207,0.0,0.34906584,0.0
22,0.875,C_Block,-5.74423741,0.0,3.00255982,0.0,0.34906584,0.0
23,0.91666667,C_Block,-5.71129537,0.0,2.9905699,0.0,0.34906584,0.0
24,0.95833333,C_Block,-5.67682114,0.0,2.97802231,0.0,0.34906584,0.0
25,1.0,C_Block,-5.64081472,0.0,2.96491704,0.0,0.34906584,0.0
26,1.04166667,C_Block,-5.60327612,0.0,2.95125411,0.0,0.34906584,0.0
27,1.08333333,C_Block,-5.56420533,0.0,2.9370335,0.0,0.34906584,0.0
