frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,C_Block,-6.08208483,0.0,3.12552623,0.0,0.34906584,0.0
2,0.04166667,C_Block,-6.07979913,0.0,3.1246943,0.0,0.34906584,0.0
3,0.08333333,C_Block,-6.07294203,0.0,3.12219852,0.0,0.34906584,0.0
4,0.125,C_Block,-6.06151353,0.0,3.11803889,0.0,0.34906584,0.0
5,0.16666667,C_Block,-6.04551364,0.0,3.1122154,0.0,0.34906584,0.0
6,0.20833333,C_Block,-6.02494234,0.0,3.10472806,0.0,0.34906584,0.0
7,0.25,C_Block,-5.99979964,0.0,3.09557687,0.0,0.34906584,0.0
8,0.29166667,C_Block,-5.97008554,0.0,3.08476182,0.0,0.34906584,0.0
9,0.33333333,C_Block,-5.93580004,0.0,3.07228292,0.0,0.34906584,0.0
10,0.375,C_Block,-5.89694314,0.0,3.05814016,0.0,0.34906584,0.0
11,0.41666667,C_Block,-5.85351484,0.0,3.04233355,0.0,0.34906584,0.0
12,0.45833333,C_Block,-5.80551514,0.0,3.02486309,0.0,0.34906584,0.0
13,0.5,C_Block,-5.75294404,0.0,3.00572878,0.0,0.34906584,0.0
14,0.54166667,C_Block,-5.69580154,0.0,2.98493061,0.0,0.34906584,0.0
15,0.58333333,C_Block,-5.63408764,0.0,2.96246859,0.0,0.34906584,0.0
16,0.625,C_Block,-5.56780234,0.0,2.93834271,0.0,0.34906584,0.0
17,0.66666667,C_Block,-5.49694565,0.0,2.91255298,0.0,0.34906584,0.0
18,0.70833333,C_Block,-5.42151755,0.0,2.8850994,0.0,0.34906584,0.0
19,0.75,C_Block,-5.34151805,0.0,2.85598196,0.0,0.34906584,0.0
20,0.79166667,C_Block,-5.25694715,0.0,2.82520067,0.0,0.34906584,0.0
21,0.83333333,C_Block,-5.16780485,0.0,2.79275553,0.0,0.34906584,0.0
22,0.875,C_Block,-5.07409116,0.0,2.75864653,0.0,0.34906584,0.0
23,0.91666667,C_Block,-4.97580606,0.0,2.72287368,0.0,0.34906584,0.0
24,0.95833333,C_Block,-4.87294956,0.0,2.68543698,0.0,0.34906584,0.0
25,1.0,C_Block,-4.76552166,0.0,2.64633642,0.0,0.34906584,0.0
26,1.04166667,C_Block,-4.65352236,0.0,2.60557201,0.0,0.34906584,0.0
27,1.08333333,C_Block,-4.53695167,0.0,2.56314375,0.0,0.34906584,0.0
28,1.125,C_Block,-4.41580957,0.0,2.51905163,0.0,0.34906584,0.0
29,1.16666667,C_Block,-4.29009607,0.0,2.47329566,0.0,0.34906584,0.0
30,1.20833333,C_Block,-4.15981117,0.0,2.42587583,0.0,0.34906584,0.0
31,1.25,C_Block,-4.02495488,0.0,2.37679216,0.0,0.34906584,0.0
32,1.29166667,C_Block,-3.88552718,0.0,2.32604462,0.0,0.34906584,0.0
33,1.33333333,C_Block,-3.74152808,0.0,2.27363324,0.0,0.34906584,0.0
34,1.375,C_Block,-3.59295759,0.0,2.219558,0.0,0.34906584,0.0
35,1.41666667,C_Block,-3.43981569,0.0,2.16381891,0.0,0.34906584,0.0
36,1.45833333,C_Block,-3.28210239,0.0,2.10641596,0.0,0.34906584,0.0
37,1.5,C_Block,-3.1198177,0.0,2.04734916,0.0,0.34906584,0.0
38,1.54166667,C_Block,-2.9529616,0.0,1.98661851,0.0,0.34906584,0.0
39,1.58333333,C_Block,-2.7815341,0.0,1.92422401,0.0,0.34906584,0.0
40,1.625,C_Block,-2.60553521,0.0,1.86016565,0.0,0.34906584,0.0
41,1.66666667,C_Block,-2.42496491,0.0,1.79444343,0.0,0.34906584,0.0
42,1.70833333,C_Block,-2.23982321,0.0,1.72705737,0.0,0.34906584,0.0
43,1.75,C_Block,-2.05011012,0.0,1.65800745,0.0,0.34906584,0.0
44,1.79166667,C_Block,-1.85582562,0.0,1.58729367,0.0,0.34906584,0.0
45,1.83333333,C_Block,-1.65696973,0.0,1.51491605,0.0,0.34906584,0.0
46,1.875,C_Block,-1.45354243,0.0,1.44087457,0.0,0.34906584,0.0
47,1.91666667,C_Block,-1.24554373,0.0,1.36516923,0.0,0.34906584,0.0
48,1.95833333,C_Block,-1.03297364,0.0,1.28780004,0.0,0.34906584,0.0
49,2.0,C_Block,-0.81583214,0.0,1.208767,0.0,0.34906584,0.0
50,2.04166667,C_Block,-0.59411925,0.0,1.12807011,0.0,0.34906584,0.0
51,2.08333333,C_Block,-0.36783495,0.0,1.04570936,0.0,0.34906584,0.0
52,2.125,C_Block,-0.13697926,0.0,0.96168476,0.0,0.34906584,0.0
53,2.16666667,C_Block,0.09844784,0.0,0.8759963,0.0,0.34906584,0.0
54,2.20833333,C_Block,0.33844633,0.0,0.788644,0.0,0.34906584,0.0
55,2.25,C_Block,0.58301623,0.0,0.69962783,0.0,0.34906584,0.0
56,2.29166667,C_Block,0.83215752,0.0,0.60894782,0.0,0.34906584,0.0
57,2.33333333,C_Block,1.08587022,0.0,0.51660395,0.0,0.34906584,0.0
58,2.375,C_Block,1.34415431,0.0,0.42259623,0.0,0.34906584,0.0
59,2.41666667,C_Block,1.60700981,0.0,0.32692465,0.0,0.34906584,0.0
60,2.45833333,C_Block,1.8744367,0.0,0.22958922,0.0,0.34906584,0.0
61,2.5,C_Block,2.14562264,0.0,0.16967923,0.0,0.0,0.0
62,2.54166667,C_Block,2.41638117,0.0,0.16967923,0.0,0.0,0.0
63,2.58333333,C_Block,2.68611782,0.0,0.16967923,0.0,0.0,0.0
64,2.625,C_Block,2.95483259,0.0,0.16967923,0.0,0.0,0.0
65,2.66666667,C_Block,3.22252549,0.0,0.16967923,0.0,0.0,0.0
66,2.70833333,C_Block,3.48919651,0.0,0.16967923,0.0,0.0,0.0
67,2.75,C_Block,3.75484566,0.0,0.16967923,0.0,0.0,0.0
68,2.79166667,C_Block,4.01947293,0.0,0.16967923,0.0,0.0,0.0
69,2.83333333,C_Block,4.28307833,0.0,0.16967923,0.0,0.0,0.0
70,2.875,C_Block,4.54566185,0.0,0.16967923,0.0,0.0,0.0
71,2.91666667,C_Block,4.8072235,0.0,0.16967923,0.0,0.0,0.0
72,2.95833333,C_Block,5.06776328,0.0,0.16967923,0.0,0.0,0.0
73,3.0,C_Block,5.32728117,0.0,0.16967923,0.0,0.0,0.0
74,3.04166667,C_Block,5.53783232,0.0,0.16967923,0.0,0.0,0.0
75,3.08333333,C_Block,5.31649038,0.0,0.16967923,0.0,0.0,0.0
76,3.125,C_Block,5.09617031,0.0,0.16967923,0.0,0.0,0.0
77,3.16666667,C_Block,4.87687212,0.0,0.16967923,0.0,0.0,0.0
78,3.20833333,C_Block,4.6585958,0.0,0.16967923,0.0,0.0,0.0
79,3.25,C_Block,4.44134135,0.0,0.16967923,0.0,0.0,0.0
80,3.29166667,C_Block,4.22510878,0.0,0.16967923,0.0,0.0,0.0
81,3.33333333,C_Block,4.00989809,0.0,0.16967923,0.0,0.0,0.0
82,3.375,C_Block,3.79570927,0.0,0.16967923,0.0,0.0,0.0
83,3.41666667,C_Block,3.58254232,0.0,0.16967923,0.0,0.0,0.0
84,3.45833333,C_Block,3.37039725,0.0,0.16967923,0.0,0.0,0.0
85,3.5,C_Block,3.15927406,0.0,0.16967923,0.0,0.0,0.0
86,3.54166667,C_Block,2.94917274,0.0,0.16967923,0.0,0.0,0.0
87,3.58333333,C_Block,2.7400933,0.0,0.16967923,0.0,0.0,0.0
88,3.625,C_Block,2.53203573,0.0,0.16967923,0.0,0.0,0.0
89,3.66666667,C_Block,2.32500003,0.0,0.16967923,0.0,0.0,0.0
90,3.70833333,C_Block,2.11898621,0.0,0.16967923,0.0,0.0,0.0
91,3.75,C_Block,1.91399427,0.0,0.16967923,0.0,0.0,0.0
92,3.79166667,C_Block,1.7100242,0.0,0.16967923,0.0,0.0,0.0
93,3.83333333,C_Block,1.507076,0.0,0.16967923,0.0,0.0,0.0
94,3.875,C_Block,1.30514968,0.0,0.16967923,0.0,0.0,0.0
95,3.91666667,C_Block,1.10424524,0.0,0.16967923,0.0,0.0,0.0
96,3.95833333,C_Block,0.90436267,0.0,0.16967923,0.0,0.0,0.0
97,4.0,C_Block,0.70550197,0.0,0.16967923,0.0,0.0,0.0
98,4.04166667,C_Block,0.50766315,0.0,0.16967923,0.0,0.0,0.0
99,4.08333333,C_Block,0.31084621,0.0,0.16967923,0.0,0.0,0.0
100,4.125,C_Block,0.11505114,0.0,0.16967923,0.0,0.0,0.0
101,4.16666667,C_Block,-0.07972205,0.0,0.16967923,0.0,0.0,0.0
102,4.20833333,C_Block,-0.27347337,0.0,0.16967923,0.0,0.0,0.0
103,4.25,C_Block,-0.46620282,0.0,0.16967923,0.0,0.0,0.0
104,4.29166667,C_Block,-0.65791039,0.0,0.16967923,0.0,0.0,0.0
105,4.33333333,C_Block,-0.84859608,0.0,0.16967923,0.0,0.0,0.0
106,4.375,C_Block,-1.0382599,0.0,0.16967923,0.0,0.0,0.0
107,4.41666667,C_Block,-1.22690185,0.0,0.16967923,0.0,0.0,0.0
108,4.45833333,C_Block,-1.41452192,0.0,0.16967923,0.0,0.0,0.0
109,4.5,C_Block,-1.60112011,0.0,0.16967923,0.0,0.0,0.0
110,4.54166667,C_Block,-1.78669643,0.0,0.16967923,0.0,0.0,0.0
111,4.58333333,C_Block,-1.97125088,0.0,0.16967923,0.0,0.0,0.0
112,4.625,C_Block,-2.15478344,0.0,0.16967923,0.0,0.0,0.0
