frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,0.93549428,0.0,2.69884545,0.0,0.0,0.0
1,0.0,D_Rod,0.41893874,0.0,3.85904818,0.0,2.72271371,0.0
2,0.04166667,D_Ball,0.93201453,0.0,2.69729961,0.0,0.0,0.0
2,0.04166667,D_Rod,0.41738042,0.0,3.85835591,0.0,2.72436905,0.0
3,0.08333333,D_Ball,0.92221753,0.0,2.69298438,0.0,0.0,0.0
3,0.08333333,D_Rod,0.41299307,0.0,3.85642344,0.0,2.72902369,0.0
4,0.125,D_Ball,0.90613146,0.0,2.68601661,0.0,0.0,0.0
4,0.125,D_Rod,0.4057893,0.0,3.85330309,0.0,2.73664546,0.0
5,0.16666667,D_Ball,0.88380538,0.0,2.67658576,0.0,0.0,0.0
5,0.16666667,D_Rod,0.39579111,0.0,3.84907971,0.0,2.74718308,0.0
6,0.20833333,D_Ball,0.85531301,0.0,2.66494973,0.0,0.0,0.0
6,0.20833333,D_Rod,0.38303148,0.0,3.84386879,0.0,2.76056433,0.0
7,0.25,D_Ball,0.82075755,0.0,2.65142907,0.0,0.0,0.0
7,0.25,D_Rod,0.36755664,0.0,3.83781389,0.0,2.77669787,0.0
8,0.29166667,D_Ball,0.7802774,0.0,2.63639949,0.0,0.0,0.0
8,0.29166667,D_Rod,0.34942857,0.0,3.83108325,0.0,2.79547215,0.0
9,0.33333333,D_Ball,0.73405218,0.0,2.62028272,0.0,0.0,0.0
9,0.33333333,D_Rod,0.32872771,0.0,3.82386574,0.0,2.81675696,0.0
10,0.375,D_Ball,0.68230864,0.0,2.60353581,0.0,0.0,0.0
10,0.375,D_Rod,0.30555561,0.0,3.81636604,0.0,2.84040356,0.0
11,0.41666667,D_Ball,0.62532609,0.0,2.58663892,0.0,0.0,0.0
11,0.41666667,D_Rod,0.28003734,0.0,3.80879917,0.0,2.86624551,0.0
12,0.45833333,D_Ball,0.56344064,0.0,2.57008192,0.0,0.0,0.0
12,0.45833333,D_Rod,0.25232342,0.0,3.80138451,0.0,2.89409947,0.0
13,0.5,D_Ball,0.49704796,0.0,2.55435013,0.0,0.0,0.0
13,0.5,D_Rod,0.22259104,0.0,3.79433941,0.0,2.92376637,0.0
14,0.54166667,D_Ball,0.4266041,0.0,2.53990953,0.0,0.0,0.0
14,0.54166667,D_Rod,0.19104445,0.0,3.78787253,0.0,2.95503235,0.0
15,0.58333333,D_Ball,0.35262412,0.0,2.52719199,0.0,0.0,0.0
15,0.58333333,D_Rod,0.15791428,0.0,3.78217728,0.0,2.98767066,0.0
16,0.625,D_Ball,0.27578668,0.0,2.51659427,0.0,0.0,0.0
16,0.625,D_Rod,0.12350447,0.0,3.77743135,0.0,3.02139616,0.0
17,0.66666667,D_Ball,0.19803662,0.0,2.50854162,0.0,0.0,0.0
17,0.66666667,D_Rod,0.08868596,0.0,3.77382516,0.0,3.05538297,0.0
