frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,0.93549428,0.0,2.69884545,0.0,0.0,0.0
1,0.0,D_Rod,0.41893874,0.0,3.85904818,0.0,2.72271371,0.0
2,0.04166667,D_Ball,0.9302806,0.0,2.69653191,0.0,0.0,0.0
2,0.04166667,D_Rod,0.41660392,0.0,3.85801212,0.0,2.7251935,0.0
3,0.08333333,D_Ball,0.91560917,0.0,2.6901043,0.0,0.0,0.0
3,0.08333333,D_Rod,0.41003367,0.0,3.85513367,0.0,2.73215771,0.0
4,0.125,D_Ball,0.89154468,0.0,2.67982357,0.0,0.0,0.0
4,0.125,D_Rod,0.39925697,0.0,3.85052969,0.0,2.74353552,0.0
5,0.16666667,D_Ball,0.85820248,0.0,2.66610954,0.0,0.0,0.0
5,0.16666667,D_Rod,0.38432546,0.0,3.84438818,0.0,2.75921059,0.0
6,0.20833333,D_Ball,0.81576067,0.0,2.64952691,0.0,0.0,0.0
6,0.20833333,D_Rod,0.36531891,0.0,3.83696205,0.0,2.77902246,0.0
7,0.25,D_Ball,0.76447518,0.0,2.63076564,0.0,0.0,0.0
7,0.25,D_Rod,0.34235193,0.0,3.82856027,0.0,2.80276608,0.0
8,0.29166667,D_Ball,0.70469628,0.0,2.6106158,0.0,0.0,0.0
8,0.29166667,D_Rod,0.31558138,0.0,3.81953664,0.0,2.83019471,0.0
9,0.33333333,D_Ball,0.63688444,0.0,2.58993706,0.0,0.0,0.0
9,0.33333333,D_Rod,0.28521347,0.0,3.81027616,0.0,2.86101961,0.0
10,0.375,D_Ball,0.56162382,0.0,2.56962365,0.0,0.0,0.0
10,0.375,D_Rod,0.2515098,0.0,3.80117928,0.0,2.89491415,0.0
11,0.41666667,D_Ball,0.47963106,0.0,2.55056584,0.0,0.0,0.0
11,0.41666667,D_Rod,0.2147913,0.0,3.7926447,0.0,2.93151569,0.0
12,0.45833333,D_Ball,0.39175797,0.0,2.53360955,0.0,0.0,0.0
12,0.45833333,D_Rod,0.17543944,0.0,3.78505123,0.0,2.97042847,0.0
13,0.5,D_Ball,0.29898667,0.0,2.51951607,0.0,0.0,0.0
13,0.5,D_Rod,0.13389403,0.0,3.7787398,0.0,3.01122952,0.0
14,0.54166667,D_Ball,0.20595059,0.0,2.50923935,0.0,0.0,0.0
14,0.54166667,D_Rod,0.09223005,0.0,3.77413762,0.0,3.05192876,0.0
15,0.58333333,D_Ball,0.11655799,0.0,2.50295533,0.0,0.0,0.0
15,0.58333333,D_Rod,0.05219771,0.0,3.77132347,0.0,3.09089351,0.0
16,0.625,D_Ball,0.03167411,0.0,2.50021811,0.0,0.0,0.0
16,0.625,D_Rod,0.01418449,0.0,3.77009767,0.0,3.12782097,0.0
17,0.66666667,D_Ball,-0.04796623,0.0,2.50050022,0.0,0.0,0.0
17,0.66666667,D_Rod,-0.02148053,0.0,3.77022401,0.0,3.16244912,0.0
