frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,D_Ball,0.93549428,0.0,2.69884545,0.0,0.0,0.0
1,0.0,D_Rod,0.41893874,0.0,3.85904818,0.0,2.72271371,0.0
2,0.04166667,D_Ball,0.93375597,0.0,2.69807236,0.0,0.0,0.0
2,0.04166667,D_Rod,0.41816028,0.0,3.85870197,0.0,2.72354078,0.0
3,0.08333333,D_Ball,0.92885946,0.0,2.69590397,0.0,0.0,0.0
3,0.08333333,D_Rod,0.4159675,0.0,3.85773091,0.0,2.72586918,0.0
4,0.125,D_Ball,0.92081162,0.0,2.69236959,0.0,0.0,0.0
4,0.125,D_Rod,0.41236346,0.0,3.85614812,0.0,2.72969079,0.0
5,0.16666667,D_Ball,0.9096241,0.0,2.6875171,0.0,0.0,0.0
5,0.16666667,D_Rod,0.4073534,0.0,3.85397505,0.0,2.73499274,0.0
6,0.20833333,D_Ball,0.89531382,0.0,2.68141246,0.0,0.0,0.0
6,0.20833333,D_Rod,0.40094488,0.0,3.85124123,0.0,2.74175715,0.0
7,0.25,D_Ball,0.8779036,0.0,2.67413894,0.0,0.0,0.0
7,0.25,D_Rod,0.39314813,0.0,3.84798396,0.0,2.7499609,0.0
8,0.29166667,D_Ball,0.85742302,0.0,2.66579622,0.0,0.0,0.0
8,0.29166667,D_Rod,0.38397639,0.0,3.84424787,0.0,2.75957584,0.0
9,0.33333333,D_Ball,0.83390928,0.0,2.65649928,0.0,0.0,0.0
9,0.33333333,D_Rod,0.37344633,0.0,3.84008446,0.0,2.77056932,0.0
10,0.375,D_Ball,0.80740827,0.0,2.64637703,0.0,0.0,0.0
10,0.375,D_Rod,0.36157849,0.0,3.83555145,0.0,2.78290343,0.0
11,0.41666667,D_Ball,0.77797563,0.0,2.63557076,0.0,0.0,0.0
11,0.41666667,D_Rod,0.34839778,0.0,3.83071212,0.0,2.79653573,0.0
12,0.45833333,D_Ball,0.74567777,0.0,2.6242324,0.0,0.0,0.0
12,0.45833333,D_Rod,0.33393396,0.0,3.82563451,0.0,2.81141853,0.0
13,0.5,D_Ball,0.71059298,0.0,2.61252254,0.0,0.0,0.0
13,0.5,D_Rod,0.31822207,0.0,3.82039053,0.0,2.8275001,0.0
14,0.54166667,D_Ball,0.67281236,0.0,2.60060837,0.0,0.0,0.0
14,0.54166667,D_Rod,0.30130293,0.0,3.81505505,0.0,2.84472418,0.0
15,0.58333333,D_Ball,0.63244069,0.0,2.58866132,0.0,0.0,0.0
15,0.58333333,D_Rod,0.28322344,0.0,3.80970485,0.0,2.86302972,0.0
16,0.625,D_Ball,0.58959712,0.0,2.57685465,0.0,0.0,0.0
16,0.625,D_Rod,0.26403697,0.0,3.80441752,0.0,2.88235211,0.0
17,0.66666667,D_Ball,0.5444156,0.0,2.56536096,0.0,0.0,0.0
17,0.66666667,D_Rod,0.24380351,0.0,3.79927034,0.0,2.90262222,0.0
